都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
01,北海道,01100,札幌市,"1,407 ",188 ,70 ,"1,666 ","4,213 ","5,518 ","9,732 ","1,444 ",782 ,138 ,0 ,"2,364 ",137 ,"13,898 "
01,北海道,01202,函館市,483 ,27 ,26 ,535 ,546 ,763 ,"1,309 ",247 ,136 ,19 ,200 ,602 ,36 ,"2,483 "
01,北海道,01203,小樽市,449 ,8 ,6 ,463 ,237 ,345 ,581 ,87 ,64 ,9 ,66 ,226 ,18 ,"1,288 "
01,北海道,01204,旭川市,567 ,36 ,41 ,644 ,681 ,944 ,"1,625 ",327 ,202 ,24 ,0 ,553 ,16 ,"2,838 "
01,北海道,01205,室蘭市,"1,676 ",14 ,1 ,"1,691 ",181 ,248 ,429 ,82 ,44 ,6 ,42 ,175 ,11 ,"2,306 "
01,北海道,01206,釧路市,624 ,18 ,32 ,675 ,354 ,504 ,858 ,181 ,133 ,12 ,73 ,399 ,24 ,"1,956 "
01,北海道,01207,帯広市,404 ,22 ,50 ,476 ,381 ,460 ,841 ,188 ,139 ,12 ,0 ,339 ,13 ,"1,670 "
01,北海道,01208,北見市,315 ,15 ,60 ,390 ,231 ,327 ,559 ,129 ,113 ,9 ,0 ,250 ,11 ,"1,210 "
01,北海道,01209,夕張市,28 ,1 ,3 ,32 ,13 ,27 ,40 ,8 ,6 ,1 ,0 ,15 ,0 ,86 
01,北海道,01210,岩見沢市,213 ,8 ,42 ,263 ,143 ,223 ,366 ,81 ,68 ,6 ,0 ,154 ,9 ,792 
01,北海道,01211,網走市,136 ,4 ,44 ,185 ,79 ,98 ,177 ,39 ,36 ,3 ,5 ,83 ,0 ,445 
01,北海道,01212,留萌市,30 ,4 ,5 ,39 ,46 ,63 ,109 ,20 ,17 ,2 ,5 ,43 ,0 ,191 
01,北海道,01213,苫小牧市,"3,055 ",26 ,19 ,"3,100 ",329 ,464 ,793 ,181 ,180 ,12 ,201 ,576 ,17 ,"4,486 "
01,北海道,01214,稚内市,136 ,6 ,21 ,163 ,74 ,97 ,171 ,35 ,33 ,3 ,41 ,111 ,0 ,444 
01,北海道,01215,美唄市,39 ,4 ,13 ,56 ,38 ,64 ,101 ,22 ,22 ,2 ,0 ,45 ,0 ,202 
01,北海道,01216,芦別市,41 ,1 ,14 ,56 ,21 ,42 ,63 ,13 ,11 ,1 ,0 ,25 ,0 ,144 
01,北海道,01217,江別市,247 ,9 ,20 ,276 ,155 ,298 ,453 ,102 ,54 ,8 ,0 ,164 ,17 ,909 
01,北海道,01218,赤平市,60 ,1 ,2 ,63 ,17 ,33 ,50 ,10 ,8 ,1 ,0 ,19 ,1 ,134 
01,北海道,01219,紋別市,140 ,3 ,12 ,155 ,43 ,64 ,107 ,24 ,24 ,2 ,2 ,52 ,2 ,316 
01,北海道,01220,士別市,32 ,4 ,21 ,56 ,40 ,51 ,90 ,20 ,23 ,1 ,0 ,45 ,0 ,192 
01,北海道,01221,名寄市,46 ,3 ,8 ,57 ,65 ,76 ,141 ,28 ,26 ,2 ,0 ,55 ,0 ,254 
01,北海道,01222,三笠市,30 ,1 ,10 ,41 ,15 ,27 ,42 ,8 ,7 ,1 ,0 ,15 ,0 ,98 
01,北海道,01223,根室市,166 ,2 ,26 ,194 ,50 ,68 ,118 ,28 ,29 ,2 ,7 ,67 ,7 ,385 
01,北海道,01224,千歳市,646 ,6 ,23 ,675 ,211 ,255 ,466 ,108 ,52 ,7 ,0 ,167 ,8 ,"1,316 "
01,北海道,01225,滝川市,38 ,5 ,7 ,51 ,78 ,115 ,193 ,40 ,29 ,3 ,0 ,73 ,6 ,322 
01,北海道,01226,砂川市,72 ,3 ,8 ,84 ,36 ,48 ,83 ,17 ,15 ,1 ,0 ,33 ,3 ,203 
01,北海道,01227,歌志内市,0 ,1 ,0 ,1 ,5 ,11 ,16 ,3 ,2 ,0 ,0 ,5 ,0 ,22 
01,北海道,01228,深川市,11 ,2 ,14 ,26 ,41 ,59 ,99 ,20 ,23 ,2 ,0 ,44 ,3 ,173 
01,北海道,01229,富良野市,21 ,2 ,25 ,49 ,46 ,58 ,105 ,23 ,26 ,2 ,0 ,51 ,0 ,204 
