都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
11,埼玉県,11235,富士見市,12 ,4 ,3 ,19 ,80 ,147 ,226 ,74 ,33 ,6 ,0 ,114 ,8 ,366 
11,埼玉県,11237,三郷市,71 ,8 ,1 ,80 ,136 ,173 ,309 ,106 ,73 ,8 ,0 ,188 ,19 ,595 
11,埼玉県,11238,蓮田市,66 ,2 ,10 ,79 ,50 ,81 ,131 ,59 ,25 ,4 ,0 ,87 ,8 ,305 
11,埼玉県,11239,坂戸市,63 ,3 ,1 ,68 ,92 ,132 ,224 ,96 ,42 ,6 ,0 ,144 ,7 ,443 
11,埼玉県,11240,幸手市,56 ,2 ,1 ,59 ,52 ,68 ,120 ,54 ,28 ,3 ,0 ,85 ,0 ,264 
11,埼玉県,11241,鶴ヶ島市,45 ,2 ,2 ,49 ,79 ,89 ,168 ,65 ,26 ,4 ,0 ,95 ,6 ,318 
11,埼玉県,11242,日高市,81 ,2 ,4 ,87 ,53 ,71 ,124 ,62 ,34 ,3 ,0 ,100 ,0 ,311 
11,埼玉県,11243,吉川市,46 ,3 ,3 ,52 ,70 ,80 ,149 ,56 ,37 ,4 ,0 ,97 ,10 ,309 
11,埼玉県,11245,ふじみ野市,70 ,4 ,2 ,76 ,98 ,145 ,243 ,76 ,31 ,6 ,0 ,114 ,10 ,442 
11,埼玉県,11246,白岡市,28 ,2 ,0 ,30 ,43 ,60 ,103 ,46 ,23 ,3 ,0 ,71 ,6 ,210 
11,埼玉県,11301,伊奈町,47 ,2 ,0 ,49 ,43 ,52 ,95 ,40 ,22 ,3 ,0 ,65 ,3 ,212 
11,埼玉県,11324,三芳町,117 ,2 ,1 ,121 ,69 ,49 ,117 ,34 ,37 ,2 ,0 ,73 ,0 ,311 
11,埼玉県,11326,毛呂山町,14 ,1 ,5 ,20 ,41 ,49 ,91 ,37 ,20 ,2 ,0 ,60 ,3 ,174 
11,埼玉県,11327,越生町,5 ,1 ,0 ,6 ,10 ,16 ,26 ,15 ,10 ,1 ,0 ,25 ,1 ,58 
11,埼玉県,11341,滑川町,59 ,1 ,8 ,68 ,19 ,20 ,39 ,19 ,14 ,1 ,0 ,35 ,1 ,142 
11,埼玉県,11342,嵐山町,76 ,1 ,4 ,82 ,21 ,23 ,44 ,22 ,12 ,1 ,0 ,35 ,1 ,162 
11,埼玉県,11343,小川町,20 ,1 ,5 ,26 ,32 ,41 ,73 ,39 ,20 ,2 ,0 ,61 ,2 ,161 
11,埼玉県,11346,川島町,53 ,2 ,2 ,57 ,21 ,25 ,46 ,27 ,25 ,1 ,0 ,53 ,3 ,159 
11,埼玉県,11347,吉見町,121 ,1 ,5 ,128 ,16 ,24 ,40 ,27 ,18 ,1 ,0 ,46 ,1 ,215 
11,埼玉県,11348,鳩山町,3 ,1 ,1 ,5 ,14 ,18 ,32 ,17 ,9 ,1 ,0 ,27 ,2 ,67 
11,埼玉県,11349,ときがわ町,26 ,1 ,4 ,30 ,11 ,15 ,26 ,18 ,14 ,1 ,0 ,33 ,1 ,90 
11,埼玉県,11361,横瀬町,16 ,1 ,0 ,17 ,7 ,11 ,18 ,11 ,9 ,1 ,0 ,20 ,1 ,56 
11,埼玉県,11362,皆野町,5 ,1 ,2 ,7 ,14 ,13 ,27 ,14 ,13 ,1 ,0 ,28 ,1 ,64 
11,埼玉県,11363,長瀞町,6 ,0 ,0 ,7 ,8 ,9 ,18 ,10 ,7 ,0 ,0 ,18 ,1 ,43 
11,埼玉県,11365,小鹿野町,14 ,1 ,8 ,24 ,12 ,16 ,28 ,17 ,17 ,1 ,0 ,35 ,2 ,88 
11,埼玉県,11369,東秩父村,1 ,0 ,2 ,3 ,2 ,4 ,6 ,5 ,4 ,0 ,0 ,9 ,0 ,18 
11,埼玉県,11381,美里町,151 ,1 ,3 ,155 ,10 ,13 ,23 ,16 ,16 ,1 ,0 ,32 ,2 ,212 
11,埼玉県,11383,神川町,110 ,1 ,5 ,115 ,12 ,17 ,29 ,20 ,18 ,1 ,0 ,39 ,3 ,186 
11,埼玉県,11385,上里町,82 ,1 ,5 ,89 ,28 ,36 ,64 ,39 ,21 ,2 ,0 ,62 ,5 ,219 
11,埼玉県,11408,寄居町,39 ,1 ,8 ,48 ,36 ,44 ,81 ,45 ,31 ,2 ,0 ,79 ,7 ,215 
11,埼玉県,11442,宮代町,6 ,1 ,0 ,7 ,25 ,42 ,67 ,30 ,13 ,2 ,0 ,45 ,2 ,121 
11,埼玉県,11464,杉戸町,18 ,2 ,3 ,22 ,49 ,58 ,106 ,47 ,28 ,3 ,0 ,78 ,6 ,212 
11,埼玉県,11465,松伏町,18 ,1 ,0 ,20 ,23 ,36 ,59 ,32 ,20 ,2 ,0 ,53 ,6 ,138 
12,千葉県,12100,千葉市,"4,115 ",49 ,34 ,"4,198 ","1,623 ","1,146 ","2,769 ",782 ,395 ,57 ,47 ,"1,282 ",151 ,"8,399 "
12,千葉県,12202,銚子市,672 ,3 ,17 ,692 ,102 ,75 ,177 ,82 ,74 ,4 ,0 ,161 ,13 ,"1,042 "
12,千葉県,12203,市川市,"1,304 ",14 ,4 ,"1,322 ",478 ,610 ,"1,088 ",267 ,135 ,28 ,47 ,477 ,48 ,"2,935 "
12,千葉県,12204,船橋市,"2,256 ",20 ,11 ,"2,287 ",734 ,746 ,"1,480 ",397 ,179 ,37 ,47 ,660 ,104 ,"4,531 "
12,千葉県,12205,館山市,101 ,2 ,7 ,110 ,89 ,63 ,151 ,54 ,51 ,3 ,4 ,112 ,7 ,381 
12,千葉県,12206,木更津市,692 ,10 ,8 ,711 ,186 ,152 ,338 ,146 ,101 ,8 ,19 ,275 ,0 ,"1,324 "
12,千葉県,12207,松戸市,"1,559 ",16 ,13 ,"1,588 ",506 ,595 ,"1,102 ",314 ,141 ,29 ,0 ,485 ,54 ,"3,228 "
12,千葉県,12208,野田市,"1,404 ",6 ,11 ,"1,421 ",188 ,171 ,359 ,166 ,100 ,9 ,0 ,276 ,7 ,"2,063 "
12,千葉県,12210,茂原市,"1,563 ",4 ,6 ,"1,574 ",128 ,107 ,235 ,109 ,69 ,6 ,0 ,184 ,13 ,"2,006 "
12,千葉県,12211,成田市,676 ,6 ,29 ,712 ,383 ,151 ,534 ,147 ,110 ,8 ,0 ,265 ,12 ,"1,523 "
12,千葉県,12212,佐倉市,911 ,5 ,8 ,924 ,179 ,198 ,377 ,158 ,67 ,11 ,0 ,236 ,18 ,"1,555 "
12,千葉県,12213,東金市,323 ,3 ,20 ,346 ,91 ,66 ,158 ,77 ,58 ,4 ,0 ,139 ,9 ,651 
12,千葉県,12215,旭市,372 ,4 ,63 ,439 ,90 ,67 ,157 ,85 ,90 ,4 ,0 ,180 ,5 ,781 
12,千葉県,12216,習志野市,539 ,4 ,0 ,544 ,213 ,194 ,407 ,104 ,38 ,10 ,47 ,199 ,27 ,"1,176 "
12,千葉県,12217,柏市,"1,090 ",15 ,15 ,"1,120 ",549 ,462 ,"1,011 ",309 ,149 ,24 ,0 ,482 ,34 ,"2,647 "
12,千葉県,12218,勝浦市,50 ,1 ,2 ,53 ,31 ,26 ,57 ,20 ,19 ,1 ,0 ,41 ,2 ,153 
12,千葉県,12219,市原市,"17,816 ",23 ,24 ,"17,863 ",355 ,325 ,680 ,310 ,213 ,17 ,47 ,587 ,42 ,"19,171 "
12,千葉県,12220,流山市,145 ,5 ,2 ,152 ,132 ,188 ,320 ,120 ,44 ,10 ,0 ,173 ,20 ,666 
