都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
01,北海道,01100,札幌市,"1,499 ",192 ,63 ,"1,755 ","4,225 ","5,456 ","9,681 ","1,430 ",781 ,134 ,0 ,"2,345 ",135 ,"13,916 "
01,北海道,01202,函館市,469 ,27 ,23 ,520 ,547 ,745 ,"1,293 ",244 ,134 ,18 ,225 ,620 ,37 ,"2,469 "
01,北海道,01203,小樽市,467 ,8 ,6 ,481 ,237 ,335 ,573 ,86 ,63 ,8 ,61 ,218 ,15 ,"1,287 "
01,北海道,01204,旭川市,577 ,36 ,37 ,651 ,682 ,925 ,"1,608 ",323 ,201 ,23 ,0 ,547 ,16 ,"2,821 "
01,北海道,01205,室蘭市,"1,785 ",14 ,1 ,"1,800 ",181 ,241 ,422 ,81 ,44 ,6 ,48 ,179 ,13 ,"2,415 "
01,北海道,01206,釧路市,625 ,19 ,29 ,673 ,355 ,493 ,847 ,177 ,132 ,12 ,74 ,395 ,16 ,"1,931 "
01,北海道,01207,帯広市,460 ,23 ,45 ,527 ,382 ,454 ,836 ,186 ,139 ,11 ,0 ,336 ,14 ,"1,714 "
01,北海道,01208,北見市,395 ,16 ,55 ,465 ,232 ,320 ,552 ,127 ,113 ,8 ,0 ,248 ,10 ,"1,276 "
01,北海道,01209,夕張市,27 ,1 ,3 ,31 ,13 ,25 ,38 ,8 ,6 ,1 ,0 ,14 ,0 ,83 
01,北海道,01210,岩見沢市,213 ,8 ,38 ,259 ,143 ,218 ,361 ,79 ,67 ,6 ,0 ,152 ,10 ,782 
01,北海道,01211,網走市,141 ,4 ,40 ,186 ,79 ,95 ,174 ,38 ,36 ,2 ,5 ,82 ,0 ,442 
01,北海道,01212,留萌市,28 ,4 ,4 ,36 ,46 ,61 ,108 ,19 ,17 ,1 ,5 ,43 ,0 ,187 
01,北海道,01213,苫小牧市,"3,050 ",27 ,17 ,"3,094 ",330 ,456 ,786 ,181 ,182 ,12 ,197 ,572 ,15 ,"4,467 "
01,北海道,01214,稚内市,143 ,6 ,19 ,168 ,74 ,94 ,168 ,34 ,33 ,2 ,40 ,110 ,0 ,445 
01,北海道,01215,美唄市,42 ,4 ,11 ,57 ,38 ,62 ,100 ,22 ,21 ,2 ,0 ,44 ,0 ,201 
01,北海道,01216,芦別市,44 ,1 ,12 ,57 ,21 ,40 ,61 ,13 ,11 ,1 ,0 ,25 ,0 ,143 
01,北海道,01217,江別市,256 ,9 ,18 ,283 ,155 ,294 ,449 ,101 ,54 ,8 ,0 ,162 ,17 ,912 
01,北海道,01218,赤平市,51 ,1 ,2 ,55 ,17 ,31 ,49 ,10 ,8 ,1 ,0 ,19 ,1 ,123 
01,北海道,01219,紋別市,144 ,3 ,11 ,158 ,43 ,63 ,105 ,23 ,24 ,2 ,3 ,51 ,2 ,317 
01,北海道,01220,士別市,40 ,4 ,19 ,62 ,40 ,49 ,89 ,20 ,23 ,1 ,0 ,44 ,0 ,195 
01,北海道,01221,名寄市,50 ,3 ,7 ,60 ,65 ,74 ,140 ,27 ,26 ,2 ,0 ,55 ,0 ,255 
01,北海道,01222,三笠市,32 ,1 ,9 ,42 ,15 ,26 ,41 ,8 ,7 ,1 ,0 ,15 ,0 ,98 
01,北海道,01223,根室市,134 ,2 ,24 ,160 ,50 ,66 ,116 ,27 ,29 ,2 ,6 ,64 ,7 ,347 
01,北海道,01224,千歳市,686 ,6 ,21 ,713 ,211 ,253 ,464 ,109 ,54 ,7 ,0 ,170 ,7 ,"1,354 "
01,北海道,01225,滝川市,37 ,6 ,7 ,49 ,78 ,112 ,190 ,40 ,29 ,3 ,0 ,72 ,5 ,317 
01,北海道,01226,砂川市,74 ,4 ,7 ,84 ,36 ,47 ,82 ,17 ,14 ,1 ,0 ,33 ,2 ,202 
01,北海道,01227,歌志内市,0 ,1 ,0 ,1 ,5 ,10 ,16 ,3 ,2 ,0 ,0 ,5 ,0 ,22 
01,北海道,01228,深川市,12 ,2 ,12 ,26 ,41 ,57 ,98 ,20 ,23 ,1 ,0 ,44 ,2 ,171 
01,北海道,01229,富良野市,20 ,3 ,23 ,45 ,46 ,57 ,103 ,22 ,26 ,2 ,0 ,50 ,0 ,198 
01,北海道,01230,登別市,52 ,5 ,3 ,60 ,66 ,129 ,195 ,47 ,25 ,3 ,0 ,76 ,8 ,339 
01,北海道,01231,恵庭市,411 ,5 ,13 ,429 ,101 ,171 ,271 ,64 ,35 ,5 ,0 ,104 ,0 ,803 
01,北海道,01233,伊達市,56 ,3 ,12 ,72 ,58 ,93 ,152 ,33 ,25 ,2 ,0 ,60 ,5 ,289 
01,北海道,01234,北広島市,238 ,5 ,8 ,251 ,111 ,142 ,253 ,56 ,51 ,4 ,0 ,111 ,0 ,615 
01,北海道,01235,石狩市,333 ,7 ,14 ,354 ,107 ,143 ,250 ,59 ,71 ,4 ,5 ,139 ,10 ,753 
01,北海道,01236,北斗市,183 ,6 ,7 ,196 ,67 ,115 ,182 ,48 ,39 ,3 ,0 ,90 ,3 ,471 
01,北海道,01303,当別町,97 ,1 ,16 ,114 ,24 ,40 ,64 ,16 ,17 ,1 ,0 ,35 ,0 ,212 
01,北海道,01304,新篠津村,0 ,0 ,8 ,9 ,5 ,7 ,12 ,4 ,6 ,0 ,0 ,10 ,0 ,31 
01,北海道,01331,松前町,11 ,1 ,2 ,14 ,9 ,22 ,31 ,6 ,5 ,1 ,0 ,12 ,1 ,58 
01,北海道,01332,福島町,8 ,1 ,4 ,13 ,5 ,11 ,17 ,4 ,3 ,0 ,0 ,7 ,1 ,37 
01,北海道,01333,知内町,16 ,1 ,4 ,20 ,5 ,11 ,15 ,5 ,5 ,0 ,0 ,10 ,1 ,47 
01,北海道,01334,木古内町,3 ,1 ,1 ,5 ,7 ,12 ,19 ,4 ,4 ,0 ,0 ,8 ,1 ,33 
01,北海道,01337,七飯町,42 ,2 ,4 ,48 ,34 ,71 ,105 ,29 ,24 ,2 ,0 ,54 ,3 ,211 
01,北海道,01343,鹿部町,22 ,0 ,1 ,23 ,4 ,10 ,14 ,4 ,5 ,0 ,0 ,10 ,1 ,47 
01,北海道,01345,森町,132 ,2 ,8 ,142 ,23 ,40 ,62 ,16 ,21 ,1 ,1 ,40 ,2 ,246 
01,北海道,01346,八雲町,98 ,2 ,20 ,120 ,29 ,44 ,73 ,17 ,21 ,1 ,0 ,39 ,2 ,234 
01,北海道,01347,長万部町,35 ,0 ,2 ,38 ,8 ,16 ,24 ,5 ,6 ,0 ,0 ,11 ,1 ,74 
01,北海道,01361,江差町,4 ,1 ,2 ,7 ,19 ,23 ,42 ,7 ,7 ,1 ,10 ,25 ,1 ,74 
01,北海道,01362,上ノ国町,8 ,1 ,3 ,13 ,5 ,13 ,18 ,5 ,5 ,0 ,0 ,10 ,0 ,41 
01,北海道,01363,厚沢部町,6 ,1 ,12 ,19 ,6 ,10 ,16 ,4 ,8 ,0 ,0 ,13 ,0 ,49 
01,北海道,01364,乙部町,12 ,1 ,2 ,15 ,4 ,10 ,14 ,4 ,4 ,0 ,0 ,7 ,0 ,36 
01,北海道,01367,奥尻町,1 ,1 ,1 ,2 ,7 ,8 ,15 ,2 ,4 ,0 ,14 ,20 ,0 ,37 
01,北海道,01370,今金町,1 ,1 ,6 ,8 ,9 ,14 ,22 ,5 ,8 ,0 ,0 ,13 ,1 ,44 
01,北海道,01371,せたな町,8 ,2 ,4 ,13 ,13 ,22 ,35 ,7 ,10 ,1 ,4 ,22 ,1 ,72 
01,北海道,01391,島牧村,0 ,0 ,1 ,1 ,2 ,4 ,7 ,2 ,2 ,0 ,0 ,4 ,0 ,11 
01,北海道,01392,寿都町,8 ,0 ,3 ,12 ,5 ,9 ,14 ,3 ,3 ,0 ,0 ,6 ,0 ,32 
01,北海道,01393,黒松内町,0 ,0 ,2 ,3 ,6 ,8 ,13 ,3 ,2 ,0 ,0 ,5 ,0 ,21 
01,北海道,01394,蘭越町,0 ,1 ,6 ,7 ,7 ,12 ,19 ,5 ,8 ,0 ,0 ,14 ,0 ,40 
01,北海道,01395,ニセコ町,0 ,0 ,4 ,5 ,9 ,14 ,23 ,5 ,7 ,0 ,0 ,12 ,0 ,40 
01,北海道,01396,真狩村,1 ,0 ,3 ,3 ,3 ,5 ,8 ,3 ,5 ,0 ,0 ,8 ,0 ,19 
01,北海道,01397,留寿都村,3 ,0 ,1 ,4 ,6 ,6 ,12 ,2 ,4 ,0 ,0 ,6 ,0 ,22 
01,北海道,01398,喜茂別町,0 ,0 ,1 ,1 ,4 ,7 ,10 ,2 ,3 ,0 ,0 ,5 ,0 ,17 
01,北海道,01399,京極町,13 ,1 ,5 ,18 ,6 ,8 ,14 ,3 ,4 ,0 ,0 ,8 ,0 ,40 
01,北海道,01400,倶知安町,16 ,2 ,9 ,26 ,38 ,47 ,85 ,16 ,17 ,1 ,0 ,34 ,0 ,145 
