,agriculture_forestry_fisheries_2013,construction_mining_2013,paper_2013,chemistry_2013,cement_2013,iron_making_2013,machine_2013,other_manufacturing_2013,business_2013,housing_2013,consumption_power_plant_&_refineries_&power_transmission_&_distribution_losses_2013,automobile_2013,railroad_2013,vessel_2013,aviation_2013,total_emission_2013,agriculture_forestry_fisheries_2030,construction_mining_2030,paper_2030,chemistry_2030,cement_2030,iron_making_2030,machine_2030,other_manufacturing_2030,business_2030,housing_2030,consumption_power_plant_&_refineries_&power_transmission_&_distribution_losses_2030,automobile_2030,railroad_2030,vessel_2030,aviation_2030,total_emission_2030,agriculture_forestry_fisheries_2040,construction_mining_2040,paper_2040,chemistry_2040,cement_2040,iron_making_2040,machine_2040,other_manufacturing_2040,business_2040,housing_2040,consumption_power_plant_&_refineries_&power_transmission_&_distribution_losses_2040,automobile_2040,railroad_2040,vessel_2040,aviation_2040,total_emission_2040,agriculture_forestry_fisheries_2050,construction_mining_2050,paper_2050,chemistry_2050,cement_2050,iron_making_2050,machine_2050,other_manufacturing_2050,business_2050,housing_2050,consumption_power_plant_&_refineries_&power_transmission_&_distribution_losses_2050,automobile_2050,railroad_2050,vessel_2050,aviation_2050,total_emission_2050,commune_name,commune_code
0,41655.39863999388,141271.74936359518,0.0,1763.8560552686604,0.04345306418967303,0.0,71239.31664949218,230159.21744657503,4394780.2553569395,5569906.620343912,367016.6532521732,2373705.352032397,209358.5146540127,0.0,61.78739089572757,13400918.764638318,24475.30392643757,57624.10911863071,0.0,7297.3705364157195,0.0,0.0,18366.8684930876,35603.11448959368,1317044.5065737332,2107842.0348718883,97475.91902407112,1770679.405642314,46646.72898394554,0.0,46.350647980169626,5483101.712308098,18937.436794896606,37610.319691714336,0.0,9305.781863112883,0.0,0.0,9414.905075424915,32823.650140716796,782842.1147892443,932650.1059285584,49788.263594203454,753821.1529988403,22594.517543966744,0.0,38.62553998347469,2649826.873960662,14694.566078399728,26499.58967574482,0.0,1730.8232988873756,0.0,0.0,5522.161032265375,32823.650140716796,361261.40838248335,571074.1443451566,67639.8758037157,43483.39118603207,6529.331340100831,0.0,2.8969154987606,1131261.8381990013,札幌市,15.0
1,18684.356660668396,20761.915780413114,0.0,0.0,0.0,0.0,35878.74440863151,51066.31098699308,590869.6961807857,801484.7130971467,59635.15198734433,428235.82527885016,63185.325872005575,426.2251905996487,12.30156198828965,2070240.5670054264,10978.29628020298,8422.609693474784,0.0,0.0,0.0,0.0,9250.235126038637,18597.945960275225,172823.60515321023,304349.65410056873,15977.671981663068,319496.88228939567,14078.189160754227,319.7385984966568,9.228183308269065,874304.0565273885,8494.308897934607,5492.983572461329,0.0,0.0,0.0,0.0,4741.697491513083,14482.43115901838,101254.2145637242,135798.56315071307,8754.621701677119,136434.0111581848,6819.125347233269,266.4488320805473,7.690152756890887,422546.0960272972,6249.077034552248,3263.2226350517144,0.0,0.0,0.0,0.0,1269.3248634744473,14482.43115901838,33187.22401913225,64826.163198317605,0.0,-1864.787532462305,-311.7242369541493,19.98366240604104,0.576761456766816,121121.49156399301,函館市,16.0
2,6756.188817448672,5806.644136765493,0.0,0.0,0.0,0.0,8487.252236797072,62419.73937853034,284118.2136764787,373162.86056413956,29162.35270032178,165556.14031005526,9566.148661431898,85.98202692211936,0.0,945121.522508891,4160.392043072541,2343.0498946629855,0.0,0.0,0.0,0.0,2132.6912024195767,20052.395943903924,80774.16685211724,140381.60996207013,7493.713536576888,123565.04824575457,2072.1699973408504,64.50058182929676,0.0,383039.738259748,3247.2869731963287,1517.357836211315,0.0,0.0,0.0,0.0,893.129657718589,15599.20850754535,38250.575301582016,57144.2702324867,2417.1952327539334,51414.49466376796,730.3382908301313,53.75048485774731,0.0,171267.60718095006,2927.423112292796,1399.139934985068,0.0,0.0,0.0,0.0,859.3901132164907,15599.20850754535,22008.372955471397,42566.49527677914,6488.760369200332,4099.621170833683,397.05913190015764,4.031286364331049,0.0,96349.50185858874,小樽市,17.0
3,34246.88814361912,26801.836272366825,567884.7306215598,0.0,0.0,0.0,27659.508831489326,72365.33977318756,713102.3125309921,978624.4296229156,72678.50925616622,573064.6733486144,49841.462452556,0.0,3.0753904970724126,3116272.7662439644,16912.559165173734,11010.608227027673,39913.72844121681,0.0,0.0,0.0,7468.562700516182,3971.4694902903293,212564.61892009043,378766.220107618,20478.578170765915,427613.1762479368,11642.529515971672,0.0,2.3070458270672662,1130344.3580324345,14175.660684396104,6761.112999879521,51018.081125659,0.0,0.0,0.0,3690.231520453205,18110.46902521729,120815.45958142806,167144.69057407562,11015.080397494237,183803.1530384534,5571.051805566506,0.0,1.9225381892227218,582106.9132908122,12552.010547120171,4707.232101297482,63735.50341029169,0.0,0.0,0.0,2115.8619004712054,18110.46902521729,56646.2887800736,103081.72232034714,14192.365629622458,11078.436063103543,1635.997683703066,0.0,0.144190364191704,287856.03165161185,旭川市,18.0
4,1304.6433578521571,12057.783154764367,0.0,19318.423462466275,140051.99481371074,1438609.827646476,19065.049534684134,61272.92556429688,205523.976818041,265458.0302941904,73880.87869408782,141191.96156913837,18279.26495815012,71.24225087832747,0.0,2396086.002118736,802.9269729497224,4934.10056757863,0.0,21895.301411019645,78637.68271689661,1096864.8444938601,4851.111426776138,690496.9680413733,55878.494566100126,100214.73760913074,19701.892794412906,105328.74718354193,4013.515906260896,53.44333922998875,0.0,2183673.767029131,633.092535937272,3310.9606812114225,0.0,27688.474878121993,39671.02720219095,1026380.3839559928,2358.215419978499,655487.3082699064,25265.262224561084,43314.144593947196,12236.927751013201,44303.56304134445,1746.7943546121583,44.536116024990626,0.0,1882440.6910248424,523.0348563022859,2586.7903390459483,0.0,25470.919697037807,7388.827731593651,548170.4392354245,1396.4116225453447,655487.3082699064,6287.443982488614,26045.655430896953,8346.24886980788,1509.6976003233451,348.062560231677,3.3402087018742956,0.0,1283564.1804043062,室蘭市,19.0
5,26652.00002469407,45572.19126274272,1419711.8265538996,83.9931454889838,0.0004994660050159671,0.0,10416.985939751372,35204.24693003613,363316.4577585004,524195.72347856197,67327.38312923363,341617.0396139182,33565.78415987958,14.73977604379189,2.2366476342344823,2867680.608919851,12934.467331078074,19397.09745324044,90451.13482505387,86.18730969248098,0.0,0.0,2905.945288535002,63.97979222620182,110663.17375441836,205269.99312502885,19261.56020108329,254998.91707196546,8061.310132473682,11.057242599308017,1.6778515105943757,724106.5013789056,10728.228250703069,11601.719531400722,127967.4523366799,107.62064618734783,0.0,0.0,1464.2282141279788,10092.400966521338,63370.646303954716,91545.82769101259,10799.571222642717,111192.79299683229,4001.6379983695433,9.21436883275668,1.39820959216198,442882.7387368571,9342.090836148813,7605.320194500571,159569.20154008275,98.95186756961435,0.0,0.0,810.9524486226414,10092.400966521338,28949.482146773087,56528.89731892783,8920.61122567493,7335.538224560401,1213.1494475952022,0.6910776624567507,0.10486571941214846,290467.392160359,釧路市,20.0
6,34433.26576616943,17925.250306078764,0.0,0.0,0.0,0.0,23424.816230787208,30300.926979830703,420648.4093100925,463982.9433806751,108519.80707081061,352265.85078546667,14562.481083326264,0.0,3.634552405631033,1466067.385465643,18414.816502541526,7029.65185684415,0.0,0.0,0.0,0.0,6113.419189238601,10131.757416290158,121930.60199852801,175809.1557815533,29398.233525872794,262957.8622459225,3286.4823169223455,0.0,2.72650870471586,635074.7073424181,13687.727363162316,4441.969315727233,0.0,0.0,0.0,0.0,3442.7876108193777,7881.442607781013,72303.71252412628,81376.10626183657,22199.005404864285,115662.25811234297,1852.321686935431,0.0,2.2720905872632167,322849.6029781827,10851.678477376541,3319.8952954217757,0.0,0.0,0.0,0.0,2605.557821505933,7881.442607781013,37391.07694747781,56515.107683950344,22723.827135171443,13755.127812096303,936.5902417150165,0.0,0.17040679404474127,155980.47442929025,帯広市,21.0
7,57963.44061314583,13331.338563287505,0.0,0.0,0.0,0.0,17171.051535993363,19621.8384021974,251912.53439692344,338197.3288985525,27929.540750451604,259049.19337573712,9809.872194207228,0.0,0.0,994986.1387304962,28734.200133549577,5136.544463628348,0.0,0.0,0.0,0.0,4565.397198489754,6557.701653049127,73294.44004503022,129666.06133645761,7776.556508701898,193428.12813096202,2252.7582512496056,0.0,0.0,451411.78772111813,21161.909572447064,3336.7425040187004,0.0,0.0,0.0,0.0,2847.507080675832,5096.626885432565,46949.63705660075,63537.4648867981,5924.483876762088,87064.74888457748,1427.9725657566341,0.0,0.0,237347.09331306926,15771.699049319557,2266.6139414522313,0.0,0.0,0.0,0.0,2022.9013273194912,5096.626885432565,24169.29018832345,44349.05008290215,11585.674453161655,11491.345816799765,714.5600977479694,0.0,0.0,117467.76184245881,北見市,22.0
8,1816.7437476219213,517.8745127020194,0.0,0.0,0.0,0.0,475.31681880711346,7151.634570315375,14587.900083479537,31703.608373105846,2170.721688309979,16986.560025875748,365.58529916300233,0.0,0.0,75775.94511938054,1010.0896849780936,202.72496295420365,0.0,0.0,0.0,0.0,112.23913772487894,4268.504413911435,3535.67757615339,0.0,596.7985404108359,12678.80449373212,83.90744626912111,0.0,0.0,22488.74625613408,818.297275439027,148.5762235861947,0.0,0.0,0.0,0.0,74.96659729921245,3321.6760787051676,1399.2410005334375,0.0,454.59937750181035,5707.562677027258,55.59224001826762,0.0,0.0,11980.511470110378,596.1730604642507,88.60399997463908,0.0,0.0,0.0,0.0,34.10173999214708,3321.6760787051676,-465.25908414843866,-2146826273.0,558.7205854569261,407.7825037001364,14.738964858109679,0.0,0.0,-2146826273.0,夕張市,23.0
9,37322.11891569921,7059.70575469369,0.0,0.0,0.0,0.0,4556.314683584133,16191.89320331227,141736.12539419904,237489.47180188497,26977.38746824469,160231.13101803677,26078.41800696083,0.0,0.0,657642.5662466157,18806.289676043467,2723.5593317668945,0.0,0.0,0.0,0.0,1206.209813044677,5713.426588338062,41011.82455715742,91195.60806922131,7664.547617858658,119627.98346882181,5965.345462401374,0.0,0.0,293914.7945846537,13932.593003581751,1748.6753821343946,0.0,0.0,0.0,0.0,728.2254164140013,4443.713616559343,25813.852124653604,44548.350488450946,6279.034428200779,53447.85441242563,3652.6891625967396,0.0,0.0,154594.9880350172,10663.02959338294,1229.6055421005792,0.0,0.0,0.0,0.0,527.2141046528436,4443.713616559343,13495.795191467372,31304.25859500263,10219.76311930859,6850.602962843121,1832.207046040698,0.0,0.0,80566.18977135811,岩見沢市,24.0
