,coal_2013,gasoline_2013,gas_2013,re_heat_2013,waste_2013,hydrogen_methane_2013,grid_power_2013,self_pv_consumption_non_post_FIT_2013,private_power_generation_2013,total_2013,total_non_graduated_FIT_inc_2013,coal_2030,gasoline_2030,gas_2030,re_heat_2030,waste_2030,hydrogen_methane_2030,grid_power_2030,self_pv_consumption_non_post_FIT_2030,private_power_generation_2030,total_2030,total_non_graduated_FIT_inc_2030,coal_2040,gasoline_2040,gas_2040,re_heat_2040,waste_2040,hydrogen_methane_2040,grid_power_2040,self_pv_consumption_non_post_FIT_2040,private_power_generation_2040,total_2040,total_non_graduated_FIT_inc_2040,coal_2050,gasoline_2050,gas_2050,re_heat_2050,waste_2050,hydrogen_methane_2050,grid_power_2050,self_pv_consumption_non_post_FIT_2050,private_power_generation_2050,total_2050,total_non_graduated_FIT_inc_2050,commune_name,commune_code
0,2420.4059155078344,5447379.654854516,528339.8876131233,3.130159396115689e-07,749.4875723615988,0.0,5527329.633166947,0.0,80544.35190955759,11506219.069122456,11506219.069122456,1811.4192168560703,3334001.531259846,469962.13278620347,0.0,32.91566803561124,0.0,1664913.6719753742,0.0,61870.87133332887,5532592.542239644,5479664.642776616,124.05385216157983,1498224.0814984709,373923.1849092583,0.0,27.87614628455616,0.0,644931.8215725645,0.0,105232.77118964809,2622463.789168388,2572660.187852214,114.51119241280912,459309.1585027029,199881.76959233126,0.0,23.124859169891874,0.0,263477.5484789287,0.0,77659.92862589374,1000466.0412514394,930487.5355593882,札幌市,15.0
1,605.3621330156919,891517.9783812285,89327.16724169701,7.327748423558797e-08,193.81577701447193,0.0,819503.002738171,0.0,0.0,1801147.3262711265,1801147.3262711265,463.3857021915218,570216.5008868782,68124.03913223217,0.0,2.0759551920925707,0.0,256971.78619287713,0.0,30.168356392915168,895807.956225764,876704.6270836835,0.007546196028329377,272049.04091280437,46040.42859816403,0.0,1.9421501002103576,0.0,106604.1794947232,0.0,14830.150340790233,439525.74904277804,432481.1088685392,0.006602921524788204,95065.66382563041,23173.18829255189,0.0,1.8100265824648127,0.0,-10292.504782983036,0.0,11864.361619483332,119812.52558418657,124848.57971016475,函館市,16.0
2,367.7318274000089,393487.3231958597,52857.43948323593,6.700356051811024e-08,124.27183488277605,0.0,374755.4057575401,0.0,434.30306505341855,821592.1720989185,821592.1720989185,281.48441240169126,237732.8085245224,54325.72400550466,0.0,4.142638321332529,0.0,113279.81163323476,0.0,341.51678004735396,405965.4879940322,388359.99508458935,-4.799583386519281e-05,96419.77437601403,54549.58484074833,0.0,4.035424419295118,0.0,25649.648014914546,0.0,15874.411144291467,192497.45375239183,190986.8050426305,-4.1996354632043704e-05,27263.049753030784,31466.563593193012,0.0,3.877763595588505,0.0,21492.994582419575,0.0,12664.401750747009,92890.88740098962,83240.05782107757,小樽市,17.0
3,99705.26320207039,1167325.1626824406,121384.2964778497,1.6029680187934625e-06,411.562470403372,0.0,1000195.6735541392,0.0,0.0,2389021.958386903,2389021.958386903,20839.637862569165,714467.0429440666,87211.2971576388,0.0,69.69671060424413,0.0,352858.2020276288,0.0,23.590810426421672,1175469.467512934,1170568.165478693,35530.64156665697,349990.0702098328,62393.701711949674,0.0,52.8675108643539,0.0,138635.43290271738,0.0,18020.364699577403,604623.0786015985,600425.2259351761,45454.35395840538,122755.46639812355,33820.48277842487,0.0,49.27766309580251,0.0,57543.927806702,0.0,14426.027825894378,274049.53643064597,266706.25093159825,旭川市,18.0
4,1260933.6271644826,343311.64676060015,97644.62581855024,5.348771100642227e-08,1388.0522012043707,0.0,521536.3619772688,0.0,0.0,2224814.3139221063,2224814.3139221063,1063124.5310425737,207106.00823697262,99435.75834104128,0.0,1780.8987210452801,0.0,156469.67387067838,0.0,19.006648337045853,1527935.8768606482,1427221.8630290432,997632.2194141862,81912.74644478489,101836.8985284887,0.0,1331.0098744488853,0.0,51825.40721237073,0.0,11645.010718719739,1246183.292192999,1202917.790323735,517969.8877985212,22434.68668866408,61830.07889719269,0.0,848.2052877230009,0.0,13554.850831524398,0.0,9316.16062816249,625953.8701317878,611082.0540625366,室蘭市,19.0
5,247680.01233601413,724323.0227815006,98407.73640839176,3.831918406670357e-06,461.87564590878543,0.0,602167.686303763,0.0,0.0,1673040.333475578,1673040.333475578,34240.98358853642,413941.1473048322,59886.10036182965,0.0,166.70257916729685,0.0,242417.70243829305,0.0,11.387737088262126,750664.0240097468,672468.5003907038,88859.30387159281,213357.97055529972,49476.03286867671,0.0,125.46230500498024,0.0,87844.70176610982,0.0,10514.431327427887,450177.902694112,394808.17857686756,113662.9177627388,84666.44340562401,31008.046873961128,0.0,117.08343112308782,0.0,36774.99662861964,0.0,8416.244848025324,274645.732950092,154376.52182222105,釧路市,20.0
6,10547.589716332815,653994.6283510799,87101.07144516126,4.174353544068497e-08,157.49865681045617,0.0,537673.9303572382,0.0,0.0,1289474.7185266227,1289474.7185266227,2387.3765426381947,410854.87903691764,60761.12635148662,0.0,1.2092158462054359,0.0,171182.8694653712,0.0,25.20597556389187,645212.6665878237,634044.1284679119,2011.2408530804694,176793.8157029855,52364.09708900583,0.0,1.0251336042634944,0.0,86287.22979353985,0.0,7902.954487373171,325360.3630595891,314115.5953413303,2011.240877878317,40386.269621824395,29321.048499040797,0.0,0.882799028252558,0.0,60405.503974726635,0.0,6322.565237703049,138447.51101020147,118142.39787914032,帯広市,21.0
7,362.3558428319983,497766.71594757016,40582.58713926745,2.8294134551130654e-08,115.68063432542374,0.0,343363.76116840326,0.0,0.0,882191.1007323982,882191.1007323982,277.36893878521806,308569.4821152553,28930.734893923713,0.0,0.5112259384436223,0.0,121399.67832828341,0.0,17.67118408452929,459195.44668627065,437264.49410787737,-0.00029117472544883626,143679.4515568508,19394.05574356179,0.0,0.38580790767076134,0.0,73639.20141536648,0.0,5143.883675234262,241856.97790774633,211558.95137093108,-0.0002547778847677317,42543.98108698079,9627.388668280548,0.0,0.2961090530367579,0.0,50860.320719845935,0.0,4115.248309660087,107147.23463904252,-128203.90964509966,北見市,22.0
8,44.084804721976234,42053.108243227325,0.0,5.832068240825167e-09,14.307009317394934,0.0,25334.47231751508,0.0,0.0,67445.97237478178,67445.97237478178,33.74521215781643,26213.614979253194,6.497833512054768,0.0,0.17786277855789145,0.0,9995.468489346094,0.0,0.7990892658500751,36250.30346631357,-4081.289405184165,0.0,12727.573992012016,0.0,0.0,0.16261480421732158,0.0,6402.467452269306,0.0,1320.1834061018126,20450.387465187352,19710.726541610577,0.0,5148.347081805341,0.0,0.0,0.14940045824641884,0.0,2314.1849637463793,0.0,1056.1531175955772,8518.834563605544,5358.549070148745,夕張市,23.0
9,230.10152311887092,320128.530914137,33775.777531780484,2.3134371970104422e-08,73.33558814737853,0.0,228407.66427691156,0.0,0.0,582615.4098340953,582615.4098340953,176.13321111968443,197939.88841918673,22071.70916150294,0.0,0.3466705274229064,0.0,82332.81962969337,0.0,9.253380722355208,302530.1504727525,299563.79764746706,-0.0003999652822099398,92292.7656648703,16287.6440466212,0.0,0.28212466562394906,0.0,47632.704780418724,0.0,4599.596769612907,160812.99298622346,156175.12325029014,-0.00034996962193369736,28656.68729828502,8846.96990670436,0.0,0.23392188564908103,0.0,33386.84295924163,0.0,3679.7514427361048,74570.48517888313,47158.65423920614,岩見沢市,24.0
