,post_FIT_power_consumption_2013,electricity_distribution_business/microgrid_2013,local_production_local_consumption/total_energy_consumption_2013,self_consumption_solar_2013,non_FIT_solar_consumption_2013,solar_heat_consumption_(household)_2013,biomass_heat_consumption_(commercial)_2013,total_renewable_energy_&_heat_local_production_&_local_consumption_2013,post_FIT_power_consumption_2030,electricity_distribution_business/microgrid_2030,local_production_local_consumption/total_energy_consumption_2030,self_consumption_solar_2030,non_FIT_solar_consumption_2030,solar_heat_consumption_(household)_2030,biomass_heat_consumption_(commercial)_2030,total_renewable_energy_&_heat_local_production_&_local_consumption_2030,post_FIT_power_consumption_2040,electricity_distribution_business/microgrid_2040,local_production_local_consumption/total_energy_consumption_2040,self_consumption_solar_2040,non_FIT_solar_consumption_2040,solar_heat_consumption_(household)_2040,biomass_heat_consumption_(commercial)_2040,total_renewable_energy_&_heat_local_production_&_local_consumption_2040,post_FIT_power_consumption_2050,electricity_distribution_business/microgrid_2050,local_production_local_consumption/total_energy_consumption_2050,self_consumption_solar_2050,non_FIT_solar_consumption_2050,solar_heat_consumption_(household)_2050,biomass_heat_consumption_(commercial)_2050,total_renewable_energy_&_heat_local_production_&_local_consumption_2050,commune_name,commune_code
0,34241.938469855995,0.0,0.0,4369.947644878256,79657.05060052901,,113898.989070385,0.0008992464903104009,163238.3128547995,0.0,0.0,4369.947644878256,1190340.6766246841,1038127.0760657318,2396076.013190094,0.024401265996278558,251672.755626668,0.0,0.0,4369.947644878256,1843683.986050658,1418795.7001307702,3518522.3894529743,0.05421773070536962,308514.5263677557,0.0,0.0,4369.947644878256,2497027.2954766317,5675110.460858747,8485022.230348013,0.18792496990990015,札幌市,15.0
1,5997.243945888002,0.0,0.0,1181.1236313329132,11465.600722884448,,17462.84466877245,0.0008534256127614921,34195.76990477744,0.0,0.0,1181.1236313329132,157191.87467249276,378251.3889376395,570820.1571462426,0.03555777692740931,52258.82581841383,0.0,0.0,1181.1236313329132,242913.21228990945,269287.2894716093,565640.4512112655,0.05283912050617265,64533.49417126222,0.0,0.0,1181.1236313329132,328634.5499073261,1713297.2730955575,2107646.440805479,0.3047019076936184,函館市,16.0
2,1911.4003658880001,0.0,0.0,717.4854030477021,5333.459596299886,,7244.859962187886,0.0007344618468400181,7014.100572679584,0.0,0.0,717.4854030477021,69577.4751487123,361598.1721232846,438907.2332477242,0.05522825640377668,10534.06308616515,0.0,0.0,717.4854030477021,107368.07253248432,94883.76991518866,213503.39093688584,0.03810914650009471,12254.628518901958,0.0,0.0,717.4854030477021,145158.66991625633,577339.7516647632,735470.5355029692,0.17195397255551179,小樽市,17.0
3,7514.475658560001,0.0,0.0,1728.6782810272118,13999.150195669565,,21513.625854229565,0.0006892797828273324,30163.098230821994,0.0,0.0,1728.6782810272118,197712.7110751031,89593.37038487852,319197.8579718308,0.013383695338692042,45528.37974326467,0.0,0.0,1728.6782810272118,305779.511592417,149616.60016155802,502653.1697782669,0.029494602028363,53396.77002225438,0.0,0.0,1728.6782810272118,413846.31210973085,555215.499163876,1024187.2595768885,0.0824304094363719,旭川市,18.0
4,2410.119058464,0.0,0.0,1038.4657149374636,3798.0818465136854,,6208.200904977685,0.0002432084121168751,13345.862714098475,0.0,0.0,1038.4657149374636,50258.530275345016,2038344.2793603353,2102987.1380647165,0.09373161770452507,20533.906349333014,0.0,0.0,1038.4657149374636,77588.2058217164,1986446.7015382973,2085607.2794242841,0.10862205100362822,25607.51791576691,0.0,0.0,1038.4657149374636,104917.88136808776,2067166.8395756327,2198730.704574425,0.14714756918343447,室蘭市,19.0
5,10028.968470143998,0.0,0.0,912.5910828238317,7521.124628164566,,17550.093098308564,0.0006136167486059503,82513.98986312037,0.0,0.0,912.5910828238317,104505.14868985201,1417686.2006259295,1605617.9302617258,0.07578491975294886,126402.16564329888,0.0,0.0,912.5910828238317,161554.57460849168,1877688.9060254768,2166558.237360091,0.1258534563839526,160502.20483427285,0.0,0.0,912.5910828238317,218604.00052713134,8315811.331433604,8695830.127877831,0.5863936895168743,釧路市,20.0
6,16713.367160256003,0.0,0.0,958.74511459883,6684.082679449494,,23397.449839705496,0.001551011769906557,68636.45090415709,0.0,0.0,958.74511459883,98324.5241570109,214517.70915643492,382437.4293322017,0.033614372274111064,103544.00262197675,0.0,0.0,958.74511459883,152230.66620263527,341855.74121120025,598589.1551504111,0.079809113238541,122746.2255322216,0.0,0.0,958.74511459883,206136.80824825965,753356.4054339882,1083198.1843290683,0.2116347397155629,帯広市,21.0
7,13174.608657600002,0.0,0.0,706.9958503715661,4869.851115519982,,18044.459773119983,0.0017251475642052203,60340.27430377928,0.0,0.0,706.9958503715661,68549.271313019,418301.0647766997,547897.6062438695,0.06912776428597925,89571.80263734495,0.0,0.0,706.9958503715661,106007.75378213607,799522.059506763,995808.6117766156,0.19445081331113634,104694.67048219926,0.0,0.0,706.9958503715661,143466.23625125314,7873161.859259492,8122029.761843315,2.5304341834782837,北見市,22.0
8,112.29023520000001,0.0,0.0,86.01433194431517,455.84029583679614,,568.1305310367961,0.0006681034953106307,1091.8814451009885,0.0,0.0,86.01433194431517,4942.353157722845,775441.6829152753,781561.9318500435,1.1856101074377166,1711.5350493379765,0.0,0.0,86.01433194431517,7581.478370596993,18523.4630418432,27902.490793722485,0.06404138253703719,2254.495944409412,0.0,0.0,86.01433194431517,10220.60358347114,195440.7856826964,208001.89954252128,0.5342018473118194,夕張市,23.0
9,2028.3871944960001,0.0,0.0,448.9528545386206,3398.0603641340654,,5426.447558630065,0.0007779155944909833,12041.303335168544,0.0,0.0,448.9528545386206,46142.63349794314,56618.93667404089,115251.8263616912,0.021879666414090188,18369.781094086073,0.0,0.0,448.9528545386206,71286.50004724262,127767.00686377745,217872.24085964478,0.06282538666795345,22664.78958657857,0.0,0.0,448.9528545386206,96430.36659654207,950168.488581459,1069712.5976191182,0.4712703919210465,岩見沢市,24.0
