,coal_2013,gasoline_2013,gas_2013,re_heat_2013,waste_2013,hydrogen_methane_2013,grid_power_2013,self_pv_consumption_non_post_FIT_2013,private_power_generation_2013,total_2013,coal_2030,gasoline_2030,gas_2030,re_heat_2030,waste_2030,hydrogen_methane_2030,grid_power_2030,self_pv_consumption_non_post_FIT_2030,private_power_generation_2030,total_2030,coal_2040,gasoline_2040,gas_2040,re_heat_2040,waste_2040,hydrogen_methane_2040,grid_power_2040,self_pv_consumption_non_post_FIT_2040,private_power_generation_2040,total_2040,coal_2050,gasoline_2050,gas_2050,re_heat_2050,waste_2050,hydrogen_methane_2050,grid_power_2050,self_pv_consumption_non_post_FIT_2050,private_power_generation_2050,total_2050,commune_name,commune_code
0,22770.943646687563,81040428.93569043,10594958.981197514,313015.93961156893,842120.8678220212,0.0,29219363.69956096,0.0,4627817.262265033,126660476.62979421,16974.339662655606,49727587.62576651,9424290.833809786,971406.5673896552,36983.89666922612,192326.39156399877,33304279.319858536,163238.3128547995,4357654.475230096,98194741.76280525,1369.2478163529781,22327206.749998,7498394.2222862765,2422060.3351404215,31321.512679276588,1874503.3877107182,26006300.44463711,251672.755626668,4483328.812837198,64896157.46873202,1263.9204460574958,6878480.403289002,4008290.4012933765,1700911.182318749,25982.987831339186,7671024.782113472,21624554.713897694,308514.5263677557,2932093.692524343,45151116.61008179,札幌市,15.0
1,5615.608600593502,13260911.423422394,1791378.5042915887,73277.48423558797,217770.5359713168,0.0,4332174.463814121,0.0,780930.3098176687,20462058.33015327,4298.579805721375,8498473.756345995,1366133.737248147,159087.66951036177,2332.533923699518,27818.17261404098,5114807.158066177,34195.76990477744,846166.594136831,16053313.97155575,0.08329134689105272,4047352.5686457865,923284.6107281445,354503.50890621793,2182.1911238318626,230060.33289200137,4154209.6591936303,52258.82581841383,941104.0512295783,10704955.83182895,0.07287992852967112,1416057.0180357131,464721.12629968487,252877.0632297781,2033.7377331065313,726427.4455733998,3518776.741356182,64533.49417126222,471649.91753275646,6917076.616811812,函館市,16.0
2,3411.2415149437566,5849610.665058489,1059965.7546542878,67003.56051811024,139631.27514918658,0.0,1981085.845414309,0.0,763466.3501658519,9864174.692475177,2611.1725859356743,3544405.287363803,1089409.695316366,96013.99158604983,4654.6497992500335,22232.850924823797,2330415.595444586,7014.100572679584,850392.5725445492,7947149.916138043,-0.0005297553406754173,1441382.1803291454,1093898.8423784715,170013.76955185275,4534.184740781031,273474.7105946179,1635865.6295381465,10534.06308616515,972715.2138719725,5602418.593561397,-0.00046353592309099015,412566.2569833506,631008.2393607855,117021.01834664588,4357.037747852253,1328085.9335531492,1290901.2889506596,12254.628518901958,480941.65017210424,4277136.053169913,小樽市,17.0
3,1098667.3444129198,17349003.189082734,2434687.5614039325,1602968.0187934625,462429.7420262607,0.0,5287378.009977829,0.0,2976612.641626177,31211746.507323317,228741.63243088234,10643431.4580736,1749034.3714346897,2363500.2403824134,78310.91079128554,35248.77266354168,6647478.328188885,30163.098230821994,2073846.4231188346,23849755.23531495,392072.66412814526,5202312.790985439,1251385.942686159,2696339.6308563347,59401.697600397645,306497.95818488166,5157624.338595758,45528.37974326467,1931045.5171738095,17042208.919954192,501578.6055887557,1823583.9725228087,678444.2140006255,2729789.3188714753,55368.16078180058,1033223.7967014839,4429915.821133756,53396.77002225438,1119571.0179520461,12424871.677575005,旭川市,18.0
4,12395242.731605863,5108690.890409288,1959980.6646920722,53487.71100642227,1559609.2148363716,0.0,2757020.415738866,0.0,1692227.3153956046,25526258.943684485,10386643.657853965,3093259.170498742,1995473.9380907847,66733.34473720819,2001009.798927281,36673.16061182126,3168244.1419845056,13345.862714098475,1674878.983922875,22436262.059341274,9817973.882488986,1231312.476034192,2043476.7343945226,106855.875891126,1495516.712863916,466277.9961745903,2382333.152354905,20533.906349333014,1636307.5432132783,19200588.279764853,5226884.51072049,345704.5593336711,1240991.0506561534,67154.19346088458,953039.6491269673,4369596.137612658,1887747.8053972826,25607.51791576691,825626.0993237738,14942351.523547648,室蘭市,19.0
5,2732213.15097321,10739092.026153898,1974599.01506872,3831918.406670357,518961.39989751176,0.0,3183265.302046324,0.0,5621016.654739379,28601065.955549404,377066.86742715933,6161591.862453888,1201275.6435730984,5469252.649007647,187306.26872729984,23510.849210554767,4405178.919968963,82513.98986312037,3278812.554790971,21186509.605022702,980505.992524285,3163996.342721912,992584.7882779654,5885414.153392463,140968.8820280677,233615.5028790846,2991814.187194533,126402.16564329888,2699626.360053619,17214928.374715228,1254215.6144233823,1250399.517367658,622354.3815848018,6251954.301732406,131554.4169922335,879312.8389615661,2546601.404006229,160502.20483427285,1732443.1580306427,14829337.83793319,釧路市,20.0
6,115553.9407135359,9717321.061606938,1747174.0172694623,41743.53544068497,176964.78293309684,0.0,2842329.147262933,0.0,444195.45374606823,15085281.938972719,25688.325816754048,6117660.591339321,1218613.904952918,99252.50892246593,1358.6694901184674,24444.47240052678,3356673.4296196955,68636.45090415709,464871.4411414713,11377199.794587428,22199.126413691716,2630589.414966044,1050225.811506158,208746.51620465814,1151.8355104084208,257347.7635447631,2717258.3395808134,103544.00262197675,509197.884959446,7500260.695307959,22199.126687398642,604459.7106836906,588136.7919284275,137116.20381779195,991.9090205084922,1082890.9396510145,2299981.2580001093,122746.2255322216,259721.5870272779,5118243.752348441,帯広市,21.0
7,3361.3719000460273,7384127.814313935,813883.3887666984,28294.134551130654,129978.24081508286,0.0,1815138.8255598412,0.0,284877.84813127073,10459661.624038005,2572.9952917354035,4587366.630653835,580177.1775918512,60137.4935096318,574.4111667905869,11783.020343441754,2332764.721868377,60340.27430377928,290152.30782360816,7925869.032553049,-0.003213849066764197,2130929.1268044147,388935.3503044136,134690.7256400019,433.4920310907431,96531.54238530209,1960500.368866865,89571.80263734495,319541.2880468684,5121133.693502453,-0.002812117933418672,630549.5931830264,193081.50762648802,91049.88310210026,332.70680116489655,316479.39886328275,1703461.3329608797,104694.67048219926,170088.51722560215,3209737.6074326253,北見市,22.0
8,408.94995103874055,632113.2170194061,0.0,5832.068240825168,16075.291367859478,0.0,133926.7259075687,0.0,62006.80507019613,850363.0575568944,313.0353632450504,394597.0250302847,130.30296339661822,6361.01108240813,199.84581860437243,2.6592441509513924,192191.83634203047,1091.8814451009885,64318.938609091376,659206.5358983127,0.0,191515.05061362224,0.0,6853.7214269382275,182.71326316552987,0.0,161613.66419783377,1711.5350493379765,73818.01297668263,435694.69752758037,0.0,77763.80679214415,0.0,5779.775196228695,167.86568342294254,121098.24,143313.0727192152,2254.495944409412,38992.23122666268,389369.4875620831,夕張市,23.0
9,2134.523089455207,4749171.860081768,677510.6665305095,23134.37197010442,82399.53724424554,0.0,1207441.3970585633,0.0,233832.75947348386,6975625.115448129,1633.8881954651051,2943163.9880607887,442668.98940054816,38419.6430666021,389.5174465425915,8871.625385812244,1589277.0266905145,12041.303335168544,231065.2586330206,5267531.240214462,-0.004414627838961808,1369156.7530959588,326679.43325851037,86490.50559128053,316.9940063190439,79680.02194069054,1329669.244498264,18369.781094086073,257538.58304001036,3467901.3121104916,-0.003862799359091582,425010.77247252443,177469.40990210156,60502.92552138408,262.83357938098993,281809.76040635334,1160548.0093914545,22664.78958657857,141580.43889443798,2269848.9358914164,岩見沢市,24.0
