都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
01,北海道,01100,札幌市,"1,675 ",210 ,77 ,"1,962 ","3,589 ","4,566 ","8,154 ","1,633 ",832 ,117 ,0 ,"2,581 ",152 ,"12,850 "
01,北海道,01202,函館市,591 ,29 ,24 ,645 ,548 ,688 ,"1,236 ",288 ,164 ,18 ,199 ,669 ,25 ,"2,575 "
01,北海道,01203,小樽市,494 ,10 ,12 ,516 ,232 ,330 ,563 ,109 ,70 ,9 ,66 ,254 ,12 ,"1,345 "
01,北海道,01204,旭川市,581 ,45 ,44 ,669 ,628 ,829 ,"1,457 ",372 ,222 ,22 ,0 ,615 ,11 ,"2,753 "
01,北海道,01205,室蘭市,"1,670 ",17 ,6 ,"1,693 ",181 ,234 ,415 ,98 ,52 ,6 ,60 ,215 ,15 ,"2,338 "
01,北海道,01206,釧路市,843 ,23 ,55 ,920 ,340 ,453 ,792 ,209 ,149 ,12 ,78 ,447 ,21 ,"2,181 "
01,北海道,01207,帯広市,363 ,25 ,48 ,436 ,335 ,387 ,722 ,208 ,150 ,11 ,0 ,368 ,10 ,"1,537 "
01,北海道,01208,北見市,494 ,17 ,82 ,594 ,220 ,286 ,507 ,146 ,117 ,8 ,0 ,271 ,10 ,"1,381 "
01,北海道,01209,夕張市,34 ,1 ,4 ,40 ,18 ,31 ,49 ,12 ,8 ,1 ,0 ,21 ,0 ,109 
01,北海道,01210,岩見沢市,207 ,9 ,46 ,261 ,138 ,204 ,342 ,95 ,70 ,6 ,0 ,170 ,2 ,775 
01,北海道,01211,網走市,123 ,6 ,40 ,168 ,76 ,90 ,166 ,46 ,36 ,2 ,5 ,90 ,0 ,424 
01,北海道,01212,留萌市,62 ,5 ,9 ,76 ,50 ,62 ,112 ,25 ,18 ,2 ,5 ,50 ,0 ,238 
01,北海道,01213,苫小牧市,"3,177 ",30 ,36 ,"3,243 ",317 ,391 ,708 ,194 ,188 ,11 ,170 ,563 ,28 ,"4,541 "
01,北海道,01214,稚内市,172 ,7 ,30 ,210 ,76 ,93 ,169 ,43 ,34 ,3 ,48 ,127 ,0 ,506 
01,北海道,01215,美唄市,47 ,4 ,10 ,61 ,39 ,63 ,102 ,28 ,23 ,2 ,0 ,52 ,0 ,215 
01,北海道,01216,芦別市,44 ,2 ,14 ,60 ,23 ,44 ,67 ,17 ,12 ,1 ,0 ,31 ,0 ,158 
01,北海道,01217,江別市,306 ,8 ,18 ,332 ,124 ,256 ,380 ,113 ,54 ,8 ,0 ,175 ,16 ,903 
01,北海道,01218,赤平市,68 ,2 ,3 ,73 ,17 ,35 ,52 ,13 ,9 ,1 ,0 ,23 ,0 ,147 
01,北海道,01219,紋別市,135 ,3 ,15 ,154 ,45 ,60 ,105 ,28 ,26 ,2 ,3 ,59 ,0 ,319 
01,北海道,01220,士別市,45 ,4 ,34 ,82 ,36 ,48 ,84 ,25 ,24 ,1 ,0 ,50 ,0 ,216 
01,北海道,01221,名寄市,59 ,4 ,21 ,84 ,60 ,71 ,131 ,32 ,26 ,2 ,0 ,60 ,1 ,276 
01,北海道,01222,三笠市,40 ,2 ,9 ,51 ,15 ,29 ,44 ,10 ,7 ,1 ,0 ,18 ,0 ,112 
01,北海道,01223,根室市,205 ,3 ,33 ,240 ,47 ,64 ,110 ,34 ,32 ,2 ,7 ,74 ,3 ,428 
01,北海道,01224,千歳市,689 ,7 ,26 ,722 ,194 ,210 ,404 ,115 ,53 ,6 ,0 ,174 ,12 ,"1,312 "
01,北海道,01225,滝川市,46 ,6 ,10 ,63 ,77 ,103 ,180 ,47 ,33 ,3 ,0 ,83 ,0 ,325 
01,北海道,01226,砂川市,68 ,4 ,11 ,84 ,34 ,45 ,79 ,21 ,15 ,1 ,0 ,37 ,0 ,199 
01,北海道,01227,歌志内市,2 ,1 ,1 ,3 ,6 ,13 ,18 ,5 ,2 ,0 ,0 ,7 ,0 ,29 
01,北海道,01228,深川市,28 ,3 ,11 ,42 ,42 ,55 ,97 ,25 ,24 ,2 ,0 ,50 ,0 ,189 
01,北海道,01229,富良野市,28 ,3 ,78 ,109 ,42 ,53 ,95 ,26 ,28 ,2 ,0 ,56 ,0 ,260 
01,北海道,01230,登別市,42 ,5 ,6 ,54 ,66 ,120 ,187 ,55 ,30 ,3 ,0 ,89 ,11 ,340 
01,北海道,01231,恵庭市,457 ,5 ,25 ,488 ,89 ,143 ,233 ,72 ,37 ,4 ,0 ,114 ,0 ,834 
01,北海道,01233,伊達市,48 ,4 ,39 ,91 ,55 ,85 ,140 ,39 ,29 ,2 ,0 ,70 ,5 ,305 
01,北海道,01234,北広島市,225 ,5 ,16 ,246 ,82 ,124 ,205 ,63 ,42 ,4 ,0 ,109 ,0 ,560 
01,北海道,01235,石狩市,358 ,8 ,13 ,379 ,90 ,125 ,215 ,67 ,64 ,4 ,4 ,139 ,9 ,742 
01,北海道,01236,北斗市,199 ,5 ,9 ,214 ,58 ,102 ,160 ,52 ,42 ,3 ,0 ,97 ,3 ,474 
01,北海道,01303,当別町,56 ,3 ,32 ,91 ,23 ,38 ,61 ,20 ,18 ,1 ,0 ,40 ,0 ,191 
01,北海道,01304,新篠津村,1 ,0 ,10 ,12 ,4 ,7 ,12 ,5 ,7 ,0 ,0 ,12 ,0 ,36 
01,北海道,01331,松前町,12 ,1 ,6 ,19 ,9 ,22 ,31 ,8 ,6 ,1 ,1 ,15 ,1 ,66 
01,北海道,01332,福島町,12 ,1 ,2 ,15 ,6 ,12 ,18 ,5 ,4 ,0 ,0 ,9 ,0 ,43 
01,北海道,01333,知内町,16 ,1 ,7 ,23 ,6 ,10 ,16 ,6 ,6 ,0 ,0 ,12 ,0 ,52 
01,北海道,01334,木古内町,5 ,1 ,3 ,10 ,8 ,13 ,20 ,6 ,4 ,0 ,0 ,11 ,0 ,41 
01,北海道,01337,七飯町,121 ,2 ,7 ,131 ,28 ,59 ,88 ,32 ,23 ,2 ,0 ,57 ,2 ,277 
01,北海道,01343,鹿部町,23 ,0 ,2 ,25 ,5 ,9 ,13 ,5 ,6 ,0 ,0 ,11 ,0 ,51 
01,北海道,01345,森町,122 ,2 ,15 ,140 ,22 ,38 ,60 ,20 ,23 ,1 ,2 ,46 ,1 ,248 
