都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
23,愛知県,23563,豊根村,0 ,0 ,3 ,3 ,3 ,2 ,5 ,2 ,3 ,0 ,0 ,5 ,0 ,14 
24,三重県,24201,津市,971 ,25 ,73 ,"1,069 ",608 ,491 ,"1,099 ",341 ,232 ,22 ,4 ,598 ,23 ,"2,789 "
24,三重県,24202,四日市市,"3,377 ",39 ,23 ,"3,439 ",662 ,526 ,"1,188 ",363 ,230 ,24 ,40 ,657 ,20 ,"5,305 "
24,三重県,24203,伊勢市,451 ,11 ,13 ,475 ,264 ,219 ,482 ,153 ,95 ,10 ,1 ,260 ,13 ,"1,230 "
24,三重県,24204,松阪市,571 ,16 ,38 ,624 ,309 ,287 ,596 ,201 ,156 ,13 ,4 ,374 ,14 ,"1,608 "
24,三重県,24205,桑名市,619 ,11 ,7 ,637 ,241 ,224 ,465 ,151 ,78 ,11 ,0 ,240 ,0 ,"1,342 "
24,三重県,24207,鈴鹿市,"1,922 ",14 ,27 ,"1,963 ",322 ,329 ,651 ,244 ,136 ,15 ,0 ,396 ,15 ,"3,025 "
24,三重県,24208,名張市,278 ,4 ,3 ,285 ,120 ,132 ,252 ,90 ,41 ,6 ,0 ,137 ,7 ,682 
24,三重県,24209,尾鷲市,17 ,2 ,21 ,40 ,42 ,40 ,82 ,21 ,18 ,2 ,4 ,45 ,2 ,168 
24,三重県,24210,亀山市,961 ,3 ,4 ,967 ,73 ,81 ,154 ,62 ,56 ,4 ,0 ,121 ,8 ,"1,250 "
24,三重県,24211,鳥羽市,11 ,2 ,3 ,16 ,53 ,35 ,87 ,22 ,20 ,2 ,58 ,102 ,2 ,207 
24,三重県,24212,熊野市,8 ,2 ,10 ,20 ,41 ,39 ,79 ,19 ,22 ,1 ,0 ,43 ,2 ,143 
24,三重県,24214,いなべ市,"1,416 ",4 ,11 ,"1,430 ",62 ,68 ,129 ,60 ,58 ,4 ,0 ,121 ,3 ,"1,685 "
24,三重県,24215,志摩市,17 ,5 ,19 ,40 ,104 ,93 ,197 ,61 ,56 ,4 ,3 ,125 ,9 ,371 
24,三重県,24216,伊賀市,861 ,7 ,47 ,915 ,167 ,158 ,325 ,116 ,106 ,7 ,0 ,230 ,1 ,"1,471 "
24,三重県,24303,木曽岬町,61 ,1 ,4 ,66 ,8 ,10 ,18 ,8 ,8 ,1 ,0 ,16 ,0 ,101 
24,三重県,24324,東員町,182 ,1 ,2 ,185 ,26 ,36 ,62 ,32 ,19 ,2 ,0 ,52 ,0 ,299 
24,三重県,24341,菰野町,182 ,4 ,5 ,191 ,56 ,62 ,118 ,51 ,50 ,3 ,0 ,104 ,6 ,419 
24,三重県,24343,朝日町,106 ,1 ,0 ,107 ,11 ,15 ,25 ,10 ,4 ,1 ,0 ,14 ,0 ,147 
24,三重県,24344,川越町,76 ,1 ,0 ,78 ,30 ,24 ,54 ,16 ,14 ,1 ,40 ,72 ,0 ,203 
24,三重県,24441,多気町,381 ,1 ,3 ,385 ,20 ,22 ,42 ,20 ,21 ,1 ,0 ,42 ,1 ,470 
24,三重県,24442,明和町,28 ,2 ,3 ,33 ,31 ,34 ,65 ,28 ,22 ,2 ,0 ,52 ,2 ,153 
24,三重県,24443,大台町,8 ,1 ,8 ,18 ,16 ,17 ,33 ,12 ,14 ,1 ,0 ,27 ,0 ,78 
24,三重県,24461,玉城町,155 ,1 ,3 ,159 ,18 ,22 ,40 ,19 ,16 ,1 ,0 ,36 ,2 ,237 
24,三重県,24470,度会町,4 ,1 ,6 ,11 ,9 ,12 ,20 ,11 ,13 ,1 ,0 ,25 ,1 ,58 
