都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計,
3 ,岩手県,3485,普代村,3 ,0 ,0 ,4 ,3 ,5 ,8 ,2 ,5 ,0 ,0 ,7 ,1 ,19 ,
3 ,岩手県,3501,軽米町,7 ,1 ,11 ,19 ,9 ,15 ,24 ,8 ,14 ,1 ,0 ,22 ,1 ,67 ,
3 ,岩手県,3503,野田村,1 ,1 ,2 ,3 ,3 ,7 ,10 ,4 ,5 ,0 ,0 ,9 ,1 ,23 ,
3 ,岩手県,3506,九戸村,12 ,1 ,8 ,20 ,6 ,9 ,15 ,5 ,9 ,0 ,0 ,15 ,1 ,50 ,
3 ,岩手県,3507,洋野町,4 ,2 ,13 ,19 ,13 ,27 ,40 ,15 ,19 ,1 ,0 ,35 ,2 ,97 ,
3 ,岩手県,3524,一戸町,12 ,1 ,4 ,17 ,15 ,23 ,38 ,11 ,15 ,1 ,0 ,26 ,2 ,83 ,
4 ,宮城県,4100,仙台市,"1,095 ",111 ,34 ,"1,241 ","2,160 ","1,513 ","3,673 ",872 ,496 ,66 ,52 ,"1,486 ",159 ,"6,558 ",
4 ,宮城県,4202,石巻市,393 ,13 ,53 ,459 ,177 ,180 ,357 ,153 ,135 ,9 ,52 ,349 ,24 ,"1,188 ",
4 ,宮城県,4203,塩竈市,90 ,3 ,12 ,105 ,68 ,69 ,138 ,47 ,27 ,3 ,52 ,129 ,9 ,380 ,
4 ,宮城県,4205,気仙沼市,102 ,6 ,39 ,147 ,78 ,77 ,155 ,64 ,62 ,4 ,1 ,130 ,14 ,446 ,
4 ,宮城県,4206,白石市,169 ,3 ,12 ,183 ,39 ,42 ,81 ,34 ,28 ,2 ,0 ,65 ,3 ,331 ,
4 ,宮城県,4207,名取市,104 ,6 ,4 ,113 ,105 ,92 ,197 ,77 ,56 ,5 ,0 ,138 ,11 ,459 ,
4 ,宮城県,4208,角田市,218 ,3 ,7 ,228 ,30 ,33 ,63 ,32 ,29 ,2 ,0 ,63 ,2 ,356 ,
4 ,宮城県,4209,多賀城市,74 ,4 ,1 ,79 ,71 ,80 ,151 ,56 ,30 ,4 ,0 ,90 ,9 ,328 ,
4 ,宮城県,4211,岩沼市,215 ,3 ,1 ,219 ,61 ,52 ,113 ,44 ,33 ,3 ,0 ,80 ,6 ,419 ,
4 ,宮城県,4212,登米市,139 ,9 ,44 ,192 ,94 ,80 ,173 ,85 ,100 ,5 ,0 ,190 ,8 ,564 ,
4 ,宮城県,4213,栗原市,120 ,6 ,44 ,170 ,81 ,73 ,153 ,72 ,83 ,4 ,0 ,159 ,3 ,485 ,
4 ,宮城県,4214,東松島市,19 ,3 ,11 ,33 ,36 ,47 ,83 ,41 ,31 ,2 ,0 ,74 ,6 ,196 ,
4 ,宮城県,4215,大崎市,360 ,10 ,43 ,413 ,172 ,151 ,323 ,139 ,119 ,8 ,0 ,266 ,24 ,"1,026 ",
4 ,宮城県,4301,蔵王町,72 ,1 ,6 ,79 ,14 ,13 ,27 ,13 ,16 ,1 ,0 ,30 ,1 ,138 ,
4 ,宮城県,4302,七ヶ宿町,2 ,0 ,3 ,5 ,2 ,2 ,4 ,1 ,2 ,0 ,0 ,3 ,0 ,13 ,
4 ,宮城県,4321,大河原町,25 ,2 ,3 ,30 ,35 ,29 ,64 ,25 ,14 ,1 ,0 ,40 ,2 ,136 ,
4 ,宮城県,4322,村田町,51 ,1 ,2 ,54 ,11 ,12 ,23 ,12 ,12 ,1 ,0 ,25 ,1 ,103 ,
4 ,宮城県,4323,柴田町,173 ,2 ,1 ,176 ,37 ,46 ,83 ,37 ,19 ,2 ,0 ,58 ,3 ,321 ,
4 ,宮城県,4324,川崎町,17 ,1 ,8 ,26 ,10 ,10 ,20 ,10 ,11 ,1 ,0 ,21 ,1 ,68 ,
4 ,宮城県,4341,丸森町,31 ,1 ,5 ,37 ,9 ,15 ,24 ,14 ,18 ,1 ,0 ,33 ,1 ,95 ,
4 ,宮城県,4361,亘理町,75 ,2 ,4 ,81 ,25 ,37 ,62 ,35 ,30 ,2 ,0 ,67 ,4 ,214 ,
4 ,宮城県,4362,山元町,21 ,1 ,6 ,28 ,10 ,14 ,24 ,13 ,14 ,1 ,0 ,28 ,2 ,82 ,
4 ,宮城県,4401,松島町,4 ,1 ,3 ,8 ,18 ,16 ,34 ,13 ,8 ,1 ,52 ,74 ,2 ,118 ,
4 ,宮城県,4404,七ヶ浜町,2 ,1 ,1 ,3 ,9 ,20 ,29 ,19 ,10 ,1 ,0 ,30 ,3 ,65 ,
4 ,宮城県,4406,利府町,41 ,2 ,0 ,43 ,38 ,39 ,77 ,36 ,17 ,2 ,0 ,55 ,5 ,180 ,
4 ,宮城県,4421,大和町,686 ,3 ,13 ,701 ,41 ,35 ,76 ,31 ,29 ,2 ,0 ,61 ,5 ,844 ,
4 ,宮城県,4422,大郷町,40 ,1 ,4 ,45 ,8 ,8 ,16 ,9 ,11 ,0 ,0 ,21 ,2 ,83 ,
4 ,宮城県,4216,富谷市,27 ,3 ,1 ,31 ,47 ,57 ,103 ,49 ,20 ,3 ,0 ,72 ,0 ,207 ,
4 ,宮城県,4424,大衡村,377 ,1 ,3 ,380 ,15 ,6 ,21 ,7 ,12 ,0 ,0 ,19 ,2 ,422 ,
4 ,宮城県,4444,色麻町,27 ,1 ,10 ,37 ,5 ,6 ,12 ,7 ,10 ,0 ,0 ,18 ,1 ,67 ,
4 ,宮城県,4445,加美町,85 ,3 ,12 ,100 ,26 ,24 ,50 ,25 ,29 ,1 ,0 ,56 ,4 ,209 ,
4 ,宮城県,4501,涌谷町,60 ,1 ,12 ,73 ,17 ,18 ,35 ,17 ,16 ,1 ,0 ,34 ,3 ,145 ,
4 ,宮城県,4505,美里町,37 ,1 ,6 ,45 ,25 ,27 ,52 ,25 ,21 ,2 ,0 ,48 ,5 ,150 ,
4 ,宮城県,4581,女川町,17 ,1 ,2 ,20 ,9 ,9 ,18 ,7 ,7 ,0 ,1 ,16 ,1 ,55 ,
