都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
01,北海道,01100,札幌市,"1,330 ",208 ,62 ,"1,600 ","5,079 ","5,772 ","10,851 ","1,451 ",750 ,144 ,0 ,"2,345 ",107 ,"14,903 "
01,北海道,01202,函館市,435 ,30 ,23 ,488 ,658 ,816 ,"1,474 ",252 ,140 ,20 ,205 ,617 ,30 ,"2,609 "
01,北海道,01203,小樽市,435 ,9 ,5 ,449 ,285 ,374 ,659 ,90 ,62 ,9 ,63 ,224 ,11 ,"1,344 "
01,北海道,01204,旭川市,485 ,39 ,37 ,561 ,820 ,"1,003 ","1,823 ",332 ,199 ,26 ,0 ,556 ,14 ,"2,955 "
01,北海道,01205,室蘭市,"3,262 ",15 ,1 ,"3,278 ",218 ,268 ,486 ,85 ,44 ,7 ,47 ,183 ,9 ,"3,956 "
01,北海道,01206,釧路市,598 ,20 ,29 ,646 ,426 ,537 ,964 ,183 ,130 ,13 ,71 ,398 ,25 ,"2,032 "
01,北海道,01207,帯広市,346 ,25 ,44 ,415 ,460 ,483 ,943 ,188 ,136 ,13 ,0 ,337 ,14 ,"1,709 "
01,北海道,01208,北見市,159 ,17 ,53 ,229 ,279 ,348 ,627 ,131 ,108 ,9 ,0 ,248 ,12 ,"1,116 "
01,北海道,01209,夕張市,26 ,1 ,3 ,30 ,16 ,30 ,46 ,9 ,6 ,1 ,0 ,16 ,0 ,91 
01,北海道,01210,岩見沢市,182 ,9 ,37 ,228 ,172 ,240 ,412 ,82 ,65 ,6 ,0 ,154 ,1 ,794 
01,北海道,01211,網走市,123 ,5 ,39 ,167 ,95 ,105 ,200 ,40 ,34 ,3 ,4 ,81 ,0 ,448 
01,北海道,01212,留萌市,33 ,4 ,4 ,41 ,56 ,68 ,124 ,21 ,16 ,2 ,5 ,44 ,0 ,208 
01,北海道,01213,苫小牧市,"3,496 ",29 ,17 ,"3,541 ",396 ,491 ,887 ,181 ,173 ,13 ,203 ,570 ,16 ,"5,014 "
01,北海道,01214,稚内市,127 ,6 ,19 ,152 ,89 ,106 ,195 ,36 ,30 ,3 ,43 ,113 ,0 ,460 
01,北海道,01215,美唄市,40 ,4 ,11 ,55 ,46 ,70 ,116 ,23 ,21 ,2 ,0 ,46 ,0 ,216 
01,北海道,01216,芦別市,36 ,1 ,12 ,50 ,25 ,47 ,72 ,14 ,11 ,1 ,0 ,26 ,0 ,147 
01,北海道,01217,江別市,231 ,10 ,18 ,259 ,186 ,314 ,501 ,103 ,51 ,9 ,0 ,163 ,19 ,941 
01,北海道,01218,赤平市,54 ,1 ,2 ,57 ,21 ,36 ,57 ,11 ,8 ,1 ,0 ,19 ,2 ,135 
01,北海道,01219,紋別市,122 ,3 ,10 ,135 ,51 ,69 ,121 ,24 ,23 ,2 ,3 ,52 ,3 ,311 
01,北海道,01220,士別市,28 ,4 ,18 ,50 ,48 ,55 ,103 ,21 ,22 ,2 ,0 ,45 ,0 ,198 
01,北海道,01221,名寄市,41 ,3 ,7 ,51 ,79 ,82 ,160 ,28 ,25 ,2 ,0 ,55 ,0 ,266 
01,北海道,01222,三笠市,33 ,1 ,9 ,43 ,18 ,30 ,48 ,8 ,6 ,1 ,0 ,15 ,0 ,106 
01,北海道,01223,根室市,166 ,2 ,23 ,191 ,60 ,74 ,134 ,29 ,29 ,2 ,8 ,67 ,7 ,399 
01,北海道,01224,千歳市,617 ,7 ,20 ,644 ,254 ,265 ,519 ,108 ,50 ,7 ,0 ,165 ,8 ,"1,336 "
01,北海道,01225,滝川市,30 ,6 ,6 ,42 ,94 ,122 ,216 ,41 ,28 ,3 ,0 ,72 ,7 ,338 
01,北海道,01226,砂川市,65 ,4 ,7 ,76 ,43 ,51 ,94 ,18 ,13 ,1 ,0 ,32 ,3 ,206 
01,北海道,01227,歌志内市,2 ,1 ,0 ,2 ,6 ,12 ,18 ,4 ,2 ,0 ,0 ,6 ,1 ,27 
01,北海道,01228,深川市,11 ,2 ,12 ,25 ,49 ,63 ,112 ,21 ,22 ,2 ,0 ,45 ,3 ,186 
01,北海道,01229,富良野市,21 ,3 ,22 ,46 ,56 ,63 ,118 ,23 ,25 ,2 ,0 ,50 ,0 ,215 
01,北海道,01230,登別市,40 ,5 ,3 ,48 ,79 ,142 ,221 ,49 ,25 ,4 ,0 ,78 ,8 ,355 
01,北海道,01231,恵庭市,344 ,5 ,12 ,362 ,121 ,178 ,299 ,65 ,34 ,5 ,0 ,104 ,0 ,765 
01,北海道,01233,伊達市,39 ,4 ,12 ,54 ,70 ,102 ,172 ,35 ,25 ,3 ,0 ,62 ,3 ,291 
01,北海道,01234,北広島市,213 ,5 ,8 ,227 ,134 ,152 ,285 ,57 ,47 ,4 ,0 ,108 ,0 ,620 
01,北海道,01235,石狩市,283 ,8 ,14 ,304 ,129 ,153 ,283 ,61 ,65 ,4 ,6 ,136 ,0 ,723 
01,北海道,01236,北斗市,145 ,7 ,7 ,159 ,80 ,124 ,204 ,49 ,39 ,4 ,0 ,91 ,4 ,457 
01,北海道,01303,当別町,58 ,2 ,15 ,75 ,29 ,43 ,72 ,17 ,16 ,1 ,0 ,35 ,0 ,182 
01,北海道,01304,新篠津村,0 ,1 ,8 ,9 ,6 ,8 ,14 ,4 ,6 ,0 ,0 ,10 ,0 ,33 
01,北海道,01331,松前町,12 ,1 ,2 ,15 ,11 ,25 ,36 ,7 ,5 ,1 ,1 ,13 ,1 ,65 
01,北海道,01332,福島町,12 ,1 ,4 ,16 ,7 ,13 ,20 ,4 ,3 ,0 ,0 ,8 ,1 ,44 
01,北海道,01333,知内町,13 ,1 ,4 ,18 ,6 ,12 ,18 ,5 ,5 ,0 ,0 ,10 ,1 ,46 
01,北海道,01334,木古内町,4 ,1 ,1 ,6 ,9 ,14 ,22 ,5 ,4 ,0 ,0 ,9 ,1 ,38 
01,北海道,01337,七飯町,44 ,3 ,4 ,51 ,40 ,75 ,116 ,29 ,23 ,2 ,0 ,54 ,3 ,224 
01,北海道,01343,鹿部町,11 ,0 ,1 ,12 ,5 ,11 ,16 ,4 ,5 ,0 ,0 ,10 ,1 ,38 
01,北海道,01345,森町,114 ,2 ,8 ,124 ,27 ,44 ,72 ,17 ,21 ,1 ,2 ,41 ,2 ,239 
01,北海道,01346,八雲町,86 ,3 ,19 ,108 ,34 ,49 ,83 ,17 ,20 ,1 ,0 ,39 ,2 ,231 
01,北海道,01347,長万部町,23 ,1 ,2 ,26 ,10 ,19 ,28 ,5 ,5 ,0 ,0 ,11 ,1 ,66 
01,北海道,01361,江差町,4 ,1 ,2 ,6 ,23 ,25 ,48 ,8 ,7 ,1 ,8 ,23 ,1 ,78 
01,北海道,01362,上ノ国町,5 ,1 ,3 ,10 ,6 ,15 ,21 ,5 ,5 ,0 ,0 ,10 ,0 ,42 
01,北海道,01363,厚沢部町,5 ,1 ,12 ,17 ,7 ,11 ,19 ,4 ,8 ,0 ,0 ,13 ,0 ,49 
