都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
01,北海道,01100,札幌市,"1,373 ",159 ,72 ,"1,604 ","3,703 ","4,071 ","7,774 ","1,589 ",768 ,110 ,0 ,"2,467 ",98 ,"11,943 "
01,北海道,01202,函館市,516 ,21 ,30 ,568 ,506 ,604 ,"1,110 ",280 ,152 ,16 ,159 ,608 ,27 ,"2,314 "
01,北海道,01203,小樽市,451 ,7 ,12 ,470 ,220 ,286 ,507 ,105 ,64 ,8 ,57 ,234 ,15 ,"1,225 "
01,北海道,01204,旭川市,491 ,29 ,53 ,573 ,626 ,733 ,"1,359 ",363 ,203 ,21 ,0 ,587 ,11 ,"2,530 "
01,北海道,01205,室蘭市,"1,498 ",12 ,1 ,"1,512 ",172 ,204 ,375 ,95 ,48 ,6 ,39 ,188 ,13 ,"2,088 "
01,北海道,01206,釧路市,738 ,15 ,55 ,808 ,327 ,395 ,722 ,203 ,137 ,11 ,70 ,421 ,20 ,"1,972 "
01,北海道,01207,帯広市,335 ,17 ,58 ,410 ,338 ,341 ,679 ,204 ,140 ,10 ,0 ,354 ,11 ,"1,454 "
01,北海道,01208,北見市,326 ,12 ,95 ,432 ,213 ,254 ,468 ,143 ,111 ,7 ,0 ,260 ,9 ,"1,170 "
01,北海道,01209,夕張市,35 ,1 ,3 ,39 ,16 ,26 ,42 ,11 ,7 ,1 ,0 ,19 ,0 ,100 
01,北海道,01210,岩見沢市,166 ,6 ,69 ,241 ,130 ,180 ,310 ,92 ,66 ,5 ,0 ,163 ,1 ,716 
01,北海道,01211,網走市,111 ,4 ,52 ,167 ,70 ,79 ,149 ,45 ,34 ,2 ,5 ,86 ,0 ,401 
01,北海道,01212,留萌市,55 ,3 ,6 ,64 ,45 ,53 ,98 ,24 ,17 ,1 ,4 ,47 ,0 ,209 
01,北海道,01213,苫小牧市,"2,347 ",20 ,25 ,"2,392 ",302 ,349 ,650 ,193 ,174 ,10 ,159 ,537 ,27 ,"3,606 "
01,北海道,01214,稚内市,146 ,4 ,26 ,177 ,67 ,80 ,148 ,41 ,31 ,2 ,46 ,120 ,0 ,444 
01,北海道,01215,美唄市,50 ,3 ,20 ,72 ,36 ,54 ,89 ,27 ,21 ,2 ,0 ,50 ,0 ,211 
01,北海道,01216,芦別市,37 ,1 ,11 ,49 ,21 ,37 ,58 ,17 ,11 ,1 ,0 ,29 ,0 ,136 
01,北海道,01217,江別市,281 ,7 ,31 ,319 ,128 ,226 ,354 ,112 ,51 ,7 ,0 ,170 ,20 ,863 
01,北海道,01218,赤平市,56 ,1 ,3 ,60 ,15 ,29 ,44 ,13 ,8 ,1 ,0 ,21 ,0 ,125 
01,北海道,01219,紋別市,130 ,2 ,15 ,146 ,40 ,52 ,91 ,28 ,24 ,1 ,2 ,56 ,0 ,294 
01,北海道,01220,士別市,45 ,2 ,35 ,82 ,32 ,42 ,74 ,24 ,22 ,1 ,0 ,47 ,0 ,203 
01,北海道,01221,名寄市,53 ,2 ,19 ,74 ,58 ,62 ,120 ,31 ,25 ,2 ,0 ,58 ,1 ,253 
01,北海道,01222,三笠市,53 ,1 ,7 ,61 ,14 ,24 ,38 ,10 ,6 ,1 ,0 ,17 ,0 ,115 
01,北海道,01223,根室市,163 ,2 ,42 ,206 ,47 ,56 ,103 ,33 ,30 ,2 ,6 ,71 ,2 ,382 
01,北海道,01224,千歳市,545 ,5 ,28 ,578 ,188 ,186 ,374 ,114 ,51 ,5 ,0 ,171 ,11 ,"1,134 "
01,北海道,01225,滝川市,32 ,4 ,15 ,52 ,73 ,90 ,163 ,46 ,30 ,3 ,0 ,78 ,0 ,293 
01,北海道,01226,砂川市,83 ,3 ,9 ,96 ,33 ,39 ,72 ,20 ,14 ,1 ,0 ,35 ,0 ,202 
01,北海道,01227,歌志内市,1 ,0 ,0 ,2 ,5 ,10 ,15 ,4 ,2 ,0 ,0 ,7 ,0 ,24 
01,北海道,01228,深川市,15 ,2 ,15 ,32 ,38 ,48 ,86 ,24 ,23 ,1 ,0 ,48 ,0 ,166 
01,北海道,01229,富良野市,23 ,2 ,56 ,80 ,42 ,46 ,89 ,26 ,26 ,1 ,0 ,53 ,0 ,222 
01,北海道,01230,登別市,48 ,4 ,9 ,61 ,62 ,105 ,167 ,55 ,28 ,3 ,0 ,85 ,12 ,325 
01,北海道,01231,恵庭市,372 ,4 ,24 ,401 ,95 ,128 ,222 ,71 ,34 ,4 ,0 ,110 ,0 ,733 
01,北海道,01233,伊達市,48 ,3 ,33 ,84 ,53 ,75 ,128 ,38 ,27 ,2 ,0 ,67 ,4 ,283 
01,北海道,01234,北広島市,176 ,4 ,18 ,199 ,85 ,110 ,195 ,62 ,41 ,4 ,0 ,107 ,0 ,501 
01,北海道,01235,石狩市,331 ,6 ,25 ,362 ,93 ,112 ,205 ,66 ,61 ,4 ,3 ,133 ,9 ,709 
01,北海道,01236,北斗市,175 ,4 ,11 ,190 ,55 ,91 ,146 ,52 ,39 ,3 ,0 ,93 ,3 ,432 
01,北海道,01303,当別町,61 ,2 ,24 ,87 ,22 ,33 ,55 ,20 ,17 ,1 ,0 ,38 ,0 ,179 
01,北海道,01304,新篠津村,0 ,0 ,19 ,20 ,4 ,6 ,11 ,5 ,7 ,0 ,0 ,12 ,0 ,42 
01,北海道,01331,松前町,11 ,0 ,5 ,16 ,9 ,19 ,28 ,8 ,6 ,1 ,1 ,15 ,1 ,59 
01,北海道,01332,福島町,10 ,1 ,1 ,12 ,5 ,10 ,16 ,5 ,4 ,0 ,0 ,9 ,1 ,37 
01,北海道,01333,知内町,15 ,1 ,6 ,22 ,4 ,9 ,13 ,6 ,6 ,0 ,0 ,11 ,0 ,47 
01,北海道,01334,木古内町,5 ,1 ,2 ,8 ,7 ,11 ,18 ,6 ,4 ,0 ,0 ,10 ,1 ,36 
01,北海道,01337,七飯町,73 ,2 ,7 ,82 ,28 ,53 ,82 ,31 ,22 ,2 ,0 ,56 ,2 ,221 
01,北海道,01343,鹿部町,18 ,0 ,2 ,20 ,4 ,8 ,12 ,5 ,6 ,0 ,0 ,11 ,0 ,43 
