都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
01,北海道,01100,札幌市,"1,472 ",179 ,58 ,"1,709 ","4,246 ","5,071 ","9,316 ","1,409 ",778 ,125 ,0 ,"2,311 ",163 ,"13,499 "
01,北海道,01202,函館市,446 ,25 ,21 ,493 ,550 ,683 ,"1,233 ",238 ,132 ,17 ,229 ,616 ,45 ,"2,387 "
01,北海道,01203,小樽市,448 ,8 ,5 ,461 ,239 ,305 ,544 ,84 ,63 ,7 ,67 ,220 ,18 ,"1,243 "
01,北海道,01204,旭川市,560 ,34 ,34 ,628 ,686 ,852 ,"1,537 ",317 ,199 ,22 ,0 ,538 ,15 ,"2,719 "
01,北海道,01205,室蘭市,"1,804 ",13 ,1 ,"1,818 ",182 ,220 ,402 ,79 ,44 ,5 ,52 ,180 ,15 ,"2,415 "
01,北海道,01206,釧路市,614 ,17 ,27 ,658 ,356 ,453 ,810 ,174 ,130 ,11 ,77 ,391 ,20 ,"1,879 "
01,北海道,01207,帯広市,426 ,21 ,41 ,489 ,384 ,420 ,804 ,184 ,137 ,11 ,0 ,331 ,18 ,"1,642 "
01,北海道,01208,北見市,287 ,15 ,50 ,352 ,233 ,295 ,529 ,125 ,112 ,8 ,0 ,244 ,12 ,"1,136 "
01,北海道,01209,夕張市,24 ,1 ,2 ,28 ,13 ,23 ,36 ,8 ,6 ,1 ,0 ,14 ,0 ,77 
01,北海道,01210,岩見沢市,204 ,8 ,35 ,247 ,144 ,200 ,344 ,78 ,67 ,5 ,0 ,150 ,8 ,749 
01,北海道,01211,網走市,112 ,4 ,37 ,153 ,80 ,87 ,167 ,38 ,35 ,2 ,5 ,80 ,0 ,400 
01,北海道,01212,留萌市,22 ,4 ,4 ,30 ,47 ,56 ,102 ,19 ,17 ,1 ,5 ,42 ,0 ,174 
01,北海道,01213,苫小牧市,"3,339 ",25 ,16 ,"3,380 ",331 ,424 ,755 ,179 ,182 ,11 ,201 ,573 ,20 ,"4,729 "
01,北海道,01214,稚内市,127 ,5 ,18 ,150 ,74 ,86 ,160 ,33 ,33 ,2 ,42 ,110 ,0 ,421 
01,北海道,01215,美唄市,41 ,3 ,11 ,55 ,38 ,56 ,94 ,21 ,21 ,1 ,0 ,43 ,0 ,191 
01,北海道,01216,芦別市,45 ,1 ,11 ,58 ,21 ,36 ,57 ,13 ,11 ,1 ,0 ,24 ,0 ,139 
01,北海道,01217,江別市,245 ,8 ,17 ,269 ,156 ,274 ,430 ,100 ,53 ,8 ,0 ,160 ,16 ,876 
01,北海道,01218,赤平市,56 ,1 ,2 ,60 ,17 ,28 ,46 ,9 ,8 ,1 ,0 ,18 ,1 ,125 
01,北海道,01219,紋別市,132 ,3 ,10 ,144 ,43 ,57 ,100 ,23 ,24 ,1 ,3 ,51 ,3 ,298 
01,北海道,01220,士別市,33 ,3 ,17 ,54 ,40 ,45 ,85 ,19 ,23 ,1 ,0 ,43 ,0 ,182 
01,北海道,01221,名寄市,45 ,3 ,7 ,54 ,66 ,68 ,134 ,26 ,26 ,2 ,0 ,54 ,1 ,243 
01,北海道,01222,三笠市,29 ,1 ,8 ,38 ,15 ,24 ,39 ,7 ,7 ,1 ,0 ,15 ,0 ,91 
01,北海道,01223,根室市,132 ,2 ,22 ,155 ,50 ,61 ,111 ,27 ,28 ,2 ,6 ,63 ,7 ,335 
01,北海道,01224,千歳市,649 ,6 ,19 ,674 ,212 ,236 ,448 ,111 ,55 ,6 ,0 ,172 ,7 ,"1,300 "
