都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
01,北海道,01100,札幌市,"2,963 ",560 ,97 ,"3,620 ","2,089 ","3,023 ","5,112 ","1,288 ",850 ,103 ,0 ,"2,241 ",84 ,"11,057 "
01,北海道,01202,函館市,"1,019 ",73 ,90 ,"1,183 ",351 ,562 ,913 ,233 ,201 ,20 ,161 ,615 ,16 ,"2,727 "
01,北海道,01203,小樽市,727 ,28 ,46 ,801 ,156 ,275 ,432 ,92 ,81 ,10 ,82 ,265 ,8 ,"1,506 "
01,北海道,01204,旭川市,"1,022 ",107 ,77 ,"1,207 ",392 ,603 ,995 ,289 ,223 ,22 ,0 ,533 ,18 ,"2,753 "
01,北海道,01205,室蘭市,"1,606 ",42 ,9 ,"1,657 ",129 ,212 ,340 ,85 ,64 ,7 ,102 ,258 ,6 ,"2,262 "
01,北海道,01206,釧路市,"1,354 ",72 ,157 ,"1,583 ",245 ,366 ,611 ,178 ,149 ,13 ,68 ,409 ,11 ,"2,613 "
01,北海道,01207,帯広市,371 ,59 ,131 ,560 ,204 ,282 ,486 ,155 ,166 ,10 ,0 ,331 ,8 ,"1,386 "
01,北海道,01208,北見市,372 ,42 ,101 ,514 ,136 ,217 ,353 ,112 ,120 ,8 ,0 ,240 ,7 ,"1,114 "
01,北海道,01209,夕張市,35 ,6 ,21 ,62 ,17 ,41 ,58 ,18 ,12 ,1 ,0 ,31 ,1 ,152 
01,北海道,01210,岩見沢市,203 ,24 ,29 ,257 ,87 ,152 ,239 ,72 ,72 ,6 ,0 ,150 ,5 ,650 
01,北海道,01211,網走市,123 ,15 ,54 ,192 ,45 ,74 ,119 ,35 ,39 ,3 ,7 ,84 ,2 ,398 
01,北海道,01212,留萌市,162 ,14 ,21 ,197 ,34 ,55 ,89 ,23 ,21 ,2 ,7 ,54 ,2 ,341 
01,北海道,01213,苫小牧市,"2,017 ",66 ,46 ,"2,128 ",176 ,272 ,447 ,135 ,124 ,10 ,102 ,371 ,8 ,"2,955 "
01,北海道,01214,稚内市,246 ,19 ,106 ,371 ,50 ,80 ,131 ,35 ,36 ,3 ,30 ,104 ,2 ,609 
