都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
29,奈良県,29206,桜井市,27 ,3 ,1 ,30 ,61 ,67 ,127 ,62 ,47 ,4 ,0 ,113 ,6 ,276 
29,奈良県,29207,五條市,36 ,3 ,4 ,43 ,33 ,41 ,74 ,43 ,51 ,2 ,0 ,97 ,4 ,218 
29,奈良県,29208,御所市,28 ,2 ,2 ,32 ,25 ,37 ,61 ,35 ,35 ,2 ,0 ,72 ,4 ,169 
29,奈良県,29209,生駒市,34 ,2 ,1 ,37 ,79 ,127 ,206 ,94 ,40 ,7 ,0 ,141 ,17 ,401 
29,奈良県,29210,香芝市,22 ,2 ,0 ,24 ,44 ,75 ,119 ,63 ,31 ,4 ,0 ,98 ,7 ,248 
29,奈良県,29211,葛城市,101 ,2 ,0 ,103 ,25 ,36 ,61 ,35 ,28 ,2 ,0 ,66 ,4 ,234 
29,奈良県,29212,宇陀市,9 ,3 ,1 ,12 ,28 ,39 ,67 ,42 ,44 ,2 ,0 ,87 ,2 ,168 
29,奈良県,29322,山添村,4 ,1 ,3 ,8 ,4 ,4 ,8 ,6 ,11 ,0 ,0 ,17 ,0 ,33 
29,奈良県,29342,平群町,3 ,1 ,0 ,4 ,9 ,22 ,31 ,19 ,11 ,1 ,0 ,31 ,2 ,68 
29,奈良県,29343,三郷町,1 ,0 ,0 ,2 ,11 ,27 ,38 ,20 ,8 ,1 ,0 ,29 ,3 ,71 
29,奈良県,29344,斑鳩町,10 ,1 ,0 ,11 ,21 ,31 ,52 ,25 ,13 ,2 ,0 ,41 ,2 ,105 
29,奈良県,29345,安堵町,17 ,0 ,0 ,17 ,3 ,9 ,12 ,8 ,5 ,0 ,0 ,13 ,1 ,44 
29,奈良県,29361,川西町,40 ,0 ,0 ,41 ,5 ,10 ,15 ,10 ,6 ,1 ,0 ,16 ,0 ,72 
29,奈良県,29362,三宅町,6 ,0 ,0 ,6 ,3 ,8 ,11 ,8 ,6 ,0 ,0 ,14 ,0 ,32 
29,奈良県,29363,田原本町,31 ,2 ,1 ,33 ,33 ,34 ,66 ,37 ,30 ,2 ,0 ,68 ,5 ,173 
29,奈良県,29385,曽爾村,1 ,0 ,0 ,1 ,1 ,2 ,4 ,3 ,4 ,0 ,0 ,7 ,0 ,12 
29,奈良県,29386,御杖村,0 ,0 ,3 ,4 ,1 ,3 ,4 ,3 ,5 ,0 ,0 ,8 ,0 ,16 
29,奈良県,29401,高取町,6 ,1 ,0 ,6 ,5 ,8 ,13 ,9 ,6 ,0 ,0 ,16 ,1 ,36 
29,奈良県,29402,明日香村,1 ,1 ,1 ,3 ,4 ,6 ,10 ,7 ,7 ,0 ,0 ,14 ,0 ,27 
29,奈良県,29424,上牧町,4 ,1 ,0 ,4 ,16 ,28 ,44 ,22 ,9 ,1 ,0 ,33 ,2 ,83 
29,奈良県,29425,王寺町,3 ,1 ,0 ,4 ,30 ,26 ,55 ,20 ,9 ,1 ,0 ,30 ,3 ,93 
29,奈良県,29426,広陵町,13 ,1 ,0 ,15 ,22 ,31 ,53 ,31 ,20 ,2 ,0 ,53 ,4 ,124 
29,奈良県,29427,河合町,11 ,0 ,0 ,12 ,13 ,22 ,36 ,18 ,10 ,1 ,0 ,30 ,3 ,80 
