都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
01,北海道,01100,札幌市,"1,348 ",232 ,61 ,"1,642 ","4,187 ","4,935 ","9,122 ","1,563 ",743 ,134 ,0 ,"2,440 ",96 ,"13,300 "
01,北海道,01202,函館市,497 ,31 ,26 ,554 ,572 ,718 ,"1,291 ",274 ,145 ,19 ,179 ,618 ,26 ,"2,488 "
01,北海道,01203,小樽市,418 ,10 ,10 ,438 ,249 ,337 ,586 ,101 ,62 ,9 ,64 ,236 ,13 ,"1,273 "
01,北海道,01204,旭川市,481 ,43 ,45 ,568 ,707 ,877 ,"1,584 ",359 ,198 ,25 ,0 ,581 ,12 ,"2,746 "
01,北海道,01205,室蘭市,"3,381 ",18 ,1 ,"3,400 ",194 ,240 ,434 ,93 ,46 ,7 ,50 ,196 ,13 ,"4,042 "
01,北海道,01206,釧路市,657 ,22 ,46 ,726 ,370 ,472 ,842 ,199 ,132 ,13 ,70 ,415 ,27 ,"2,010 "
01,北海道,01207,帯広市,350 ,25 ,50 ,425 ,382 ,415 ,797 ,202 ,137 ,12 ,0 ,351 ,10 ,"1,582 "
01,北海道,01208,北見市,401 ,17 ,80 ,499 ,241 ,305 ,547 ,141 ,108 ,9 ,0 ,258 ,15 ,"1,318 "
01,北海道,01209,夕張市,18 ,1 ,3 ,22 ,18 ,29 ,47 ,11 ,7 ,1 ,0 ,18 ,0 ,87 
01,北海道,01210,岩見沢市,165 ,9 ,58 ,232 ,147 ,214 ,360 ,91 ,65 ,6 ,0 ,162 ,1 ,755 
01,北海道,01211,網走市,113 ,5 ,44 ,163 ,79 ,92 ,172 ,44 ,34 ,3 ,6 ,86 ,0 ,420 
01,北海道,01212,留萌市,38 ,4 ,5 ,48 ,51 ,61 ,112 ,23 ,16 ,2 ,4 ,44 ,0 ,205 
01,北海道,01213,苫小牧市,"2,780 ",30 ,21 ,"2,831 ",341 ,423 ,764 ,191 ,171 ,12 ,173 ,547 ,26 ,"4,168 "
01,北海道,01214,稚内市,123 ,6 ,22 ,151 ,76 ,94 ,171 ,40 ,30 ,3 ,45 ,118 ,0 ,440 
01,北海道,01215,美唄市,42 ,4 ,17 ,63 ,40 ,62 ,103 ,26 ,21 ,2 ,0 ,48 ,0 ,214 
01,北海道,01216,芦別市,41 ,2 ,10 ,52 ,23 ,43 ,66 ,16 ,11 ,1 ,0 ,28 ,0 ,146 
01,北海道,01217,江別市,232 ,10 ,27 ,268 ,144 ,272 ,416 ,111 ,50 ,8 ,0 ,169 ,26 ,880 
01,北海道,01218,赤平市,49 ,2 ,3 ,54 ,17 ,33 ,51 ,12 ,8 ,1 ,0 ,21 ,0 ,125 
01,北海道,01219,紋別市,129 ,3 ,12 ,145 ,45 ,61 ,106 ,27 ,24 ,2 ,3 ,55 ,0 ,306 
01,北海道,01220,士別市,28 ,4 ,29 ,61 ,36 ,50 ,85 ,23 ,22 ,2 ,0 ,46 ,0 ,193 
01,北海道,01221,名寄市,52 ,3 ,17 ,72 ,65 ,73 ,138 ,31 ,24 ,2 ,0 ,57 ,1 ,268 
01,北海道,01222,三笠市,35 ,2 ,6 ,43 ,15 ,28 ,43 ,9 ,6 ,1 ,0 ,16 ,0 ,101 
01,北海道,01223,根室市,185 ,3 ,36 ,223 ,53 ,65 ,118 ,32 ,29 ,2 ,7 ,69 ,6 ,417 
01,北海道,01224,千歳市,576 ,8 ,23 ,607 ,212 ,225 ,437 ,113 ,49 ,7 ,0 ,168 ,7 ,"1,219 "
01,北海道,01225,滝川市,24 ,6 ,13 ,44 ,82 ,107 ,189 ,45 ,29 ,3 ,0 ,77 ,0 ,310 
01,北海道,01226,砂川市,36 ,4 ,8 ,48 ,37 ,46 ,83 ,19 ,14 ,1 ,0 ,34 ,0 ,166 
