都道府県コード,都道府県,市区町村コード,市区町村,製造業,建設業・鉱業,農林水産業,産業部門　小計,業務,家庭,民生部門　小計,旅客自動車,貨物自動車,鉄道,船舶,運輸部門　小計,一般廃棄物,排出量合計
01,北海道,01100,札幌市,"1,425 ",216 ,55 ,"1,696 ","4,837 ","5,396 ","10,233 ","1,516 ",743 ,149 ,0 ,"2,409 ",100 ,"14,437 "
01,北海道,01202,函館市,475 ,29 ,23 ,527 ,661 ,772 ,"1,433 ",264 ,142 ,21 ,192 ,619 ,36 ,"2,615 "
01,北海道,01203,小樽市,460 ,10 ,9 ,478 ,288 ,356 ,644 ,95 ,62 ,10 ,65 ,232 ,11 ,"1,365 "
01,北海道,01204,旭川市,513 ,40 ,40 ,592 ,817 ,943 ,"1,761 ",347 ,198 ,27 ,0 ,572 ,14 ,"2,939 "
01,北海道,01205,室蘭市,"3,391 ",17 ,1 ,"3,409 ",224 ,255 ,479 ,89 ,45 ,7 ,55 ,196 ,10 ,"4,094 "
01,北海道,01206,釧路市,654 ,21 ,41 ,716 ,427 ,506 ,933 ,192 ,130 ,14 ,71 ,408 ,23 ,"2,080 "
01,北海道,01207,帯広市,357 ,23 ,44 ,425 ,441 ,452 ,893 ,197 ,136 ,13 ,0 ,346 ,17 ,"1,682 "
01,北海道,01208,北見市,378 ,16 ,72 ,466 ,279 ,328 ,607 ,137 ,108 ,10 ,0 ,255 ,13 ,"1,341 "
01,北海道,01209,夕張市,32 ,1 ,3 ,35 ,20 ,29 ,50 ,10 ,6 ,1 ,0 ,17 ,0 ,102 
01,北海道,01210,岩見沢市,194 ,9 ,52 ,254 ,169 ,228 ,397 ,87 ,65 ,7 ,0 ,158 ,1 ,811 
01,北海道,01211,網走市,118 ,5 ,39 ,162 ,91 ,100 ,191 ,42 ,34 ,3 ,5 ,83 ,0 ,436 
01,北海道,01212,留萌市,36 ,4 ,5 ,45 ,59 ,65 ,124 ,22 ,15 ,2 ,5 ,44 ,0 ,213 
01,北海道,01213,苫小牧市,"3,471 ",28 ,19 ,"3,518 ",394 ,460 ,854 ,188 ,172 ,13 ,197 ,571 ,19 ,"4,962 "
01,北海道,01214,稚内市,139 ,6 ,20 ,164 ,88 ,101 ,189 ,38 ,31 ,3 ,43 ,115 ,0 ,467 
01,北海道,01215,美唄市,42 ,3 ,15 ,61 ,47 ,65 ,112 ,24 ,21 ,2 ,0 ,47 ,0 ,220 
01,北海道,01216,芦別市,44 ,1 ,9 ,53 ,27 ,45 ,72 ,15 ,11 ,1 ,0 ,27 ,0 ,152 
01,北海道,01217,江別市,239 ,9 ,24 ,272 ,167 ,295 ,462 ,108 ,51 ,9 ,0 ,168 ,18 ,920 
