2022/12/6 13:44 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1339,18:00～19:00,12/6,13:16,13,88

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1181,18:00～19:00,12/6,13:16

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1109,4:00～5:00,12/6,13:16,10,91

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1005,4:00～5:00,12/6,13:16

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),予備率(%),供給力想定値(万kW)
2022/12/6,0:00,908,905,89,13,1026
2022/12/6,1:00,903,905,87,15,1043
2022/12/6,2:00,945,951,91,10,1039
2022/12/6,3:00,970,973,91,10,1070
2022/12/6,4:00,995,996,90,11,1109
2022/12/6,5:00,1007,1007,90,12,1124
2022/12/6,6:00,1044,1049,88,14,1188
2022/12/6,7:00,1093,1101,85,17,1282
2022/12/6,8:00,1084,1106,83,21,1310
2022/12/6,9:00,1063,1082,81,24,1316
2022/12/6,10:00,1042,1056,75,34,1397
2022/12/6,11:00,1055,1049,76,32,1396
2022/12/6,12:00,1000,1010,73,38,1376
2022/12/6,13:00,0,1012,0,0,1350
2022/12/6,14:00,0,1026,0,0,1304
2022/12/6,15:00,0,1038,0,0,1249
2022/12/6,16:00,0,1080,0,0,1232
2022/12/6,17:00,0,1139,0,0,1296
2022/12/6,18:00,0,1181,0,0,1339
2022/12/6,19:00,0,1162,0,0,1315
2022/12/6,20:00,0,1123,0,0,1276
2022/12/6,21:00,0,1071,0,0,1223
2022/12/6,22:00,0,1013,0,0,1157
2022/12/6,23:00,0,943,0,0,1076

最大使用率(%),時間帯
91,3:00～4:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
,,,,,

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
,,,

DATE,TIME,当日実績(５分間隔値）(万kW),太陽光発電実績(５分間隔値）(万kW)
2022/12/6,0:00,935,0
2022/12/6,0:05,927,0
2022/12/6,0:10,919,0
2022/12/6,0:15,919,0
2022/12/6,0:20,913,0
2022/12/6,0:25,910,0
2022/12/6,0:30,892,0
2022/12/6,0:35,896,0
2022/12/6,0:40,890,0
2022/12/6,0:45,895,0
2022/12/6,0:50,906,0
2022/12/6,0:55,888,0
2022/12/6,1:00,889,0
2022/12/6,1:05,902,0
2022/12/6,1:10,904,0
2022/12/6,1:15,893,0
2022/12/6,1:20,885,0
2022/12/6,1:25,894,0
2022/12/6,1:30,899,0
2022/12/6,1:35,906,0
2022/12/6,1:40,918,0
2022/12/6,1:45,899,0
2022/12/6,1:50,921,0
2022/12/6,1:55,934,0
2022/12/6,2:00,929,0
2022/12/6,2:05,929,0
2022/12/6,2:10,925,0
2022/12/6,2:15,939,0
2022/12/6,2:20,939,0
2022/12/6,2:25,945,0
2022/12/6,2:30,949,0
2022/12/6,2:35,960,0
2022/12/6,2:40,972,0
2022/12/6,2:45,964,0
2022/12/6,2:50,964,0
2022/12/6,2:55,961,0
2022/12/6,3:00,976,0
2022/12/6,3:05,972,0
2022/12/6,3:10,972,0
2022/12/6,3:15,977,0
2022/12/6,3:20,973,0
2022/12/6,3:25,973,0
2022/12/6,3:30,971,0
2022/12/6,3:35,964,0
2022/12/6,3:40,969,0
2022/12/6,3:45,975,0
2022/12/6,3:50,981,0
2022/12/6,3:55,983,0
2022/12/6,4:00,994,0
2022/12/6,4:05,988,0
2022/12/6,4:10,986,0
2022/12/6,4:15,1005,0
2022/12/6,4:20,990,0
2022/12/6,4:25,988,0
2022/12/6,4:30,990,0
2022/12/6,4:35,1002,0
2022/12/6,4:40,1000,0
2022/12/6,4:45,1007,0
2022/12/6,4:50,994,0
2022/12/6,4:55,1006,0
2022/12/6,5:00,1009,0
2022/12/6,5:05,1014,0
2022/12/6,5:10,1005,0
2022/12/6,5:15,996,0
2022/12/6,5:20,1004,0
2022/12/6,5:25,1002,0
2022/12/6,5:30,1000,0
2022/12/6,5:35,1012,0
2022/12/6,5:40,1011,0
2022/12/6,5:45,1013,0
2022/12/6,5:50,1018,0
2022/12/6,5:55,1013,0
2022/12/6,6:00,1008,0
2022/12/6,6:05,1018,0
2022/12/6,6:10,1025,0
2022/12/6,6:15,1030,0
2022/12/6,6:20,1035,0
2022/12/6,6:25,1044,0
2022/12/6,6:30,1039,0
2022/12/6,6:35,1055,0
2022/12/6,6:40,1060,0
2022/12/6,6:45,1064,0
2022/12/6,6:50,1066,0
2022/12/6,6:55,1066,0
2022/12/6,7:00,1078,0
2022/12/6,7:05,1088,0
2022/12/6,7:10,1096,1
2022/12/6,7:15,1080,2
2022/12/6,7:20,1090,6
2022/12/6,7:25,1092,12
2022/12/6,7:30,1096,20
2022/12/6,7:35,1106,30
2022/12/6,7:40,1097,39
2022/12/6,7:45,1103,52
2022/12/6,7:50,1105,63
2022/12/6,7:55,1102,76
2022/12/6,8:00,1098,90
2022/12/6,8:05,1106,102
2022/12/6,8:10,1100,118
2022/12/6,8:15,1108,133
2022/12/6,8:20,1105,153
2022/12/6,8:25,1101,172
2022/12/6,8:30,1103,189
2022/12/6,8:35,1087,186
2022/12/6,8:40,1082,198
2022/12/6,8:45,1056,214
2022/12/6,8:50,1062,229
2022/12/6,8:55,1058,242
2022/12/6,9:00,1056,258
2022/12/6,9:05,1051,283
2022/12/6,9:10,1059,304
2022/12/6,9:15,1066,317
2022/12/6,9:20,1064,341
2022/12/6,9:25,1069,358
2022/12/6,9:30,1049,373
2022/12/6,9:35,1066,401
2022/12/6,9:40,1061,410
2022/12/6,9:45,1058,425
2022/12/6,9:50,1061,441
2022/12/6,9:55,1036,440
2022/12/6,10:00,1037,447
2022/12/6,10:05,1043,456
2022/12/6,10:10,1041,460
2022/12/6,10:15,1037,471
2022/12/6,10:20,1036,465
2022/12/6,10:25,1034,468
2022/12/6,10:30,1036,468
2022/12/6,10:35,1036,485
2022/12/6,10:40,1031,492
2022/12/6,10:45,1057,514
2022/12/6,10:50,1062,522
2022/12/6,10:55,1062,534
2022/12/6,11:00,1062,533
2022/12/6,11:05,1064,539
2022/12/6,11:10,1075,547
2022/12/6,11:15,1064,543
2022/12/6,11:20,1076,561
2022/12/6,11:25,1059,554
2022/12/6,11:30,1052,557
2022/12/6,11:35,1040,543
2022/12/6,11:40,1050,554
2022/12/6,11:45,1056,555
2022/12/6,11:50,1037,550
2022/12/6,11:55,1048,558
2022/12/6,12:00,1049,556
2022/12/6,12:05,1015,544
2022/12/6,12:10,1024,558
2022/12/6,12:15,987,535
2022/12/6,12:20,989,532
2022/12/6,12:25,1013,565
2022/12/6,12:30,989,552
2022/12/6,12:35,995,554
2022/12/6,12:40,996,547
2022/12/6,12:45,982,549
2022/12/6,12:50,1004,546
2022/12/6,12:55,1005,538
2022/12/6,13:00,1017,541
2022/12/6,13:05,1035,545
2022/12/6,13:10,1049,539
2022/12/6,13:15,1040,535
2022/12/6,13:20,1044,521
2022/12/6,13:25,1028,505
2022/12/6,13:30,1026,503
2022/12/6,13:35,1031,501
2022/12/6,13:40,1032,508
2022/12/6,13:45,,
2022/12/6,13:50,,
2022/12/6,13:55,,
2022/12/6,14:00,,
2022/12/6,14:05,,
2022/12/6,14:10,,
2022/12/6,14:15,,
2022/12/6,14:20,,
2022/12/6,14:25,,
2022/12/6,14:30,,
2022/12/6,14:35,,
2022/12/6,14:40,,
2022/12/6,14:45,,
2022/12/6,14:50,,
2022/12/6,14:55,,
2022/12/6,15:00,,
2022/12/6,15:05,,
2022/12/6,15:10,,
2022/12/6,15:15,,
2022/12/6,15:20,,
2022/12/6,15:25,,
2022/12/6,15:30,,
2022/12/6,15:35,,
2022/12/6,15:40,,
2022/12/6,15:45,,
2022/12/6,15:50,,
2022/12/6,15:55,,
2022/12/6,16:00,,
2022/12/6,16:05,,
2022/12/6,16:10,,
2022/12/6,16:15,,
2022/12/6,16:20,,
2022/12/6,16:25,,
2022/12/6,16:30,,
2022/12/6,16:35,,
2022/12/6,16:40,,
2022/12/6,16:45,,
2022/12/6,16:50,,
2022/12/6,16:55,,
2022/12/6,17:00,,
2022/12/6,17:05,,
2022/12/6,17:10,,
2022/12/6,17:15,,
2022/12/6,17:20,,
2022/12/6,17:25,,
2022/12/6,17:30,,
2022/12/6,17:35,,
2022/12/6,17:40,,
2022/12/6,17:45,,
2022/12/6,17:50,,
2022/12/6,17:55,,
2022/12/6,18:00,,
2022/12/6,18:05,,
2022/12/6,18:10,,
2022/12/6,18:15,,
2022/12/6,18:20,,
2022/12/6,18:25,,
2022/12/6,18:30,,
2022/12/6,18:35,,
2022/12/6,18:40,,
2022/12/6,18:45,,
2022/12/6,18:50,,
2022/12/6,18:55,,
2022/12/6,19:00,,
2022/12/6,19:05,,
2022/12/6,19:10,,
2022/12/6,19:15,,
2022/12/6,19:20,,
2022/12/6,19:25,,
2022/12/6,19:30,,
2022/12/6,19:35,,
2022/12/6,19:40,,
2022/12/6,19:45,,
2022/12/6,19:50,,
2022/12/6,19:55,,
2022/12/6,20:00,,
2022/12/6,20:05,,
2022/12/6,20:10,,
2022/12/6,20:15,,
2022/12/6,20:20,,
2022/12/6,20:25,,
2022/12/6,20:30,,
2022/12/6,20:35,,
2022/12/6,20:40,,
2022/12/6,20:45,,
2022/12/6,20:50,,
2022/12/6,20:55,,
2022/12/6,21:00,,
2022/12/6,21:05,,
2022/12/6,21:10,,
2022/12/6,21:15,,
2022/12/6,21:20,,
2022/12/6,21:25,,
2022/12/6,21:30,,
2022/12/6,21:35,,
2022/12/6,21:40,,
2022/12/6,21:45,,
2022/12/6,21:50,,
2022/12/6,21:55,,
2022/12/6,22:00,,
2022/12/6,22:05,,
2022/12/6,22:10,,
2022/12/6,22:15,,
2022/12/6,22:20,,
2022/12/6,22:25,,
2022/12/6,22:30,,
2022/12/6,22:35,,
2022/12/6,22:40,,
2022/12/6,22:45,,
2022/12/6,22:50,,
2022/12/6,22:55,,
2022/12/6,23:00,,
2022/12/6,23:05,,
2022/12/6,23:10,,
2022/12/6,23:15,,
2022/12/6,23:20,,
2022/12/6,23:25,,
2022/12/6,23:30,,
2022/12/6,23:35,,
2022/12/6,23:40,,
2022/12/6,23:45,,
2022/12/6,23:50,,
2022/12/6,23:55,,

